customer_id,customer_segment,loyalty_tier,loyalty_points,churn_risk_score,basket_size,discount_percentage,promotion_dependency,peak_hour_frequency,weekend_order_ratio,channel_preference,primary_location_id,location_performance
CUST-00001,OCCASIONAL,SILVER,1103,0.3,8.0,25.0,1.0,1.0,1.0,DINE_IN,LOC-012,270.28
CUST-00002,HIGH_VALUE,GOLD,4035,0.048,23.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-011,266.91
CUST-00003,OCCASIONAL,BRONZE,1239,0.564,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-014,0.0
CUST-00004,REGULAR,BRONZE,1478,0.246,15.0,0.0,0.0,0.3333,0.6667,DINE_IN,LOC-012,270.28
CUST-00005,OCCASIONAL,SILVER,2296,0.256,12.0,0.0,0.0,1.0,0.0,DINE_IN,LOC-012,270.28
CUST-00006,NEW,BRONZE,226,0.272,15.0,10.82,1.0,0.0,0.0,DRIVE_THRU,LOC-001,271.44
CUST-00007,OCCASIONAL,GOLD,1053,0.59,10.0,0.0,0.0,1.0,1.0,DELIVERY,LOC-020,268.67
CUST-00008,REGULAR,BRONZE,1193,0.516,20.0,4.92,1.0,0.0,1.0,DINE_IN,LOC-013,269.98
CUST-00009,OCCASIONAL,BRONZE,1654,0.321,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-008,0.0
CUST-00010,OCCASIONAL,BRONZE,231,0.562,14.75,2.82,0.5,0.5,0.5,TAKEOUT,LOC-014,269.41
CUST-00011,CHURNED,BRONZE,561,0.875,9.5,14.95,1.0,0.0,0.0,TAKEOUT,LOC-019,265.36
CUST-00012,REGULAR,SILVER,1854,0.604,13.67,1.38,0.3333,0.6667,0.3333,DINE_IN,LOC-012,270.28
CUST-00013,OCCASIONAL,SILVER,549,0.269,14.0,0.0,0.0,1.0,1.0,TAKEOUT,LOC-020,268.67
CUST-00014,HIGH_VALUE,PLATINUM,10168,0.089,14.33,0.0,0.0,0.6667,0.0,TAKEOUT,LOC-002,269.75
