customer_id,customer_segment,loyalty_tier,loyalty_points,churn_risk_score,basket_size,discount_percentage,promotion_dependency,peak_hour_frequency,weekend_order_ratio,channel_preference,primary_location_id,location_performance,customer_recency,customer_frequency,customer_monetary_value,average_order_value,r_score,f_score,m_score,rfm_segment
CUST-00001,OCCASIONAL,SILVER,1103,0.3,8.0,25.0,1.0,1.0,1.0,DINE_IN,LOC-012,270.28,333,1,133.01,133.01,1,1,2,Hibernating / Churned
CUST-00002,HIGH_VALUE,GOLD,4035,0.048,23.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-011,266.91,91,1,438.06,438.06,4,1,3,Recent First-Time
CUST-00003,OCCASIONAL,BRONZE,1239,0.564,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-014,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00004,REGULAR,BRONZE,1478,0.246,15.0,0.0,0.0,0.3333,0.6667,DINE_IN,LOC-012,270.28,54,3,815.64,271.88,4,4,5,Champions
CUST-00005,OCCASIONAL,SILVER,2296,0.256,12.0,0.0,0.0,1.0,0.0,DINE_IN,LOC-012,270.28,233,1,361.64,361.64,2,1,3,Hibernating / Churned
CUST-00006,NEW,BRONZE,226,0.272,15.0,10.82,1.0,0.0,0.0,DRIVE_THRU,LOC-001,271.44,106,1,222.97,222.97,3,1,2,Potential Loyalists
CUST-00007,OCCASIONAL,GOLD,1053,0.59,10.0,0.0,0.0,1.0,1.0,DELIVERY,LOC-020,268.67,81,1,195.37,195.37,4,1,2,Recent First-Time
CUST-00008,REGULAR,BRONZE,1193,0.516,20.0,4.92,1.0,0.0,1.0,DINE_IN,LOC-013,269.98,360,1,357.34,357.34,1,1,3,Hibernating / Churned
CUST-00009,OCCASIONAL,BRONZE,1654,0.321,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-008,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00010,OCCASIONAL,BRONZE,231,0.562,14.75,2.82,0.5,0.5,0.5,TAKEOUT,LOC-014,269.41,41,4,1201.73,300.43,4,5,5,Champions
CUST-00011,CHURNED,BRONZE,561,0.875,9.5,14.95,1.0,0.0,0.0,TAKEOUT,LOC-019,265.36,83,2,316.22,158.11,4,3,3,Loyal Customers
CUST-00012,REGULAR,SILVER,1854,0.604,13.67,1.38,0.3333,0.6667,0.3333,DINE_IN,LOC-012,270.28,41,3,875.06,291.69,4,4,5,Champions
CUST-00013,OCCASIONAL,SILVER,549,0.269,14.0,0.0,0.0,1.0,1.0,TAKEOUT,LOC-020,268.67,305,1,241.33,241.33,2,1,2,Hibernating / Churned
CUST-00014,HIGH_VALUE,PLATINUM,10168,0.089,14.33,0.0,0.0,0.6667,0.0,TAKEOUT,LOC-002,269.75,210,3,805.87,268.62,2,4,5,At Risk - High Value
CUST-00015,OCCASIONAL,SILVER,2299,0.538,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-010,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00016,REGULAR,BRONZE,1178,0.637,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-004,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00017,CHURNED,SILVER,569,0.916,7.0,12.3,1.0,0.0,0.0,DINE_IN,LOC-019,265.36,84,1,131.85,131.85,4,1,2,Recent First-Time
CUST-00018,CHURNED,SILVER,381,0.893,21.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-005,267.73,135,1,421.88,421.88,3,1,3,Potential Loyalists
CUST-00019,REGULAR,GOLD,422,0.239,14.5,3.15,0.5,0.5,0.0,DINE_IN,LOC-002,269.75,173,2,467.63,233.82,3,3,3,Loyal Customers
CUST-00020,NEW,BRONZE,168,0.195,9.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-014,269.41,205,1,215.04,215.04,2,1,2,Hibernating / Churned
CUST-00021,REGULAR,GOLD,923,0.521,19.0,3.71,0.5,1.0,0.5,TAKEOUT,LOC-017,269.26,40,2,561.82,280.91,4,3,4,Loyal Customers
CUST-00022,REGULAR,BRONZE,1115,0.301,11.33,1.6,0.3333,1.0,0.6667,DINE_IN,LOC-004,268.69,52,3,648.08,216.03,4,4,4,Champions
CUST-00023,OCCASIONAL,BRONZE,341,0.303,14.0,0.0,0.0,1.0,0.0,DELIVERY,LOC-014,269.41,232,1,251.53,251.53,2,1,2,Hibernating / Churned
CUST-00024,OCCASIONAL,SILVER,977,0.443,12.67,6.54,0.6667,1.0,0.0,TAKEOUT,LOC-008,271.8,58,3,639.37,213.12,4,4,4,Champions
CUST-00025,REGULAR,SILVER,879,0.242,12.67,3.75,0.3333,0.3333,0.6667,DINE_IN,LOC-003,270.16,129,3,768.76,256.25,3,4,4,Loyal Customers
CUST-00026,REGULAR,SILVER,503,0.227,14.4,6.23,0.4,0.8,0.2,DINE_IN,LOC-020,268.67,41,5,1086.09,217.22,4,5,5,Champions
CUST-00027,REGULAR,SILVER,674,0.39,8.0,0.0,0.0,1.0,1.0,TAKEOUT,LOC-001,271.44,158,1,157.48,157.48,3,1,2,Potential Loyalists
CUST-00028,REGULAR,BRONZE,2314,0.576,15.5,7.11,1.0,0.0,0.0,DELIVERY,LOC-012,270.28,286,2,623.49,311.75,2,3,4,At Risk - High Value
