item_id,item_name,category_id,category_name,base_price,cost_price,item_revenue,cost,contribution_margin,profit_percentage,order_frequency,item_popularity,repeat_purchase_rate,average_rating,rating_trend,wastage_percentage,price_change_percentage
ITEM-052,Steak Frites Garlic Herb Butter,CAT-04,Prime Steaks & Butcher Cuts,29.99,18.5,417790.69,257723.5,160067.19,38.31,9137,13931,0.0875,3.62,-0.037,4.70,0.0
ITEM-046,USDA Prime Center-Cut Filet Mignon (8oz),CAT-04,Prime Steaks & Butcher Cuts,48.0,24.5,351744.0,179536.0,172208.0,48.96,4944,7328,0.0522,3.52,-0.105,9.80,0.0
ITEM-032,Double Pepperoni Hot Honey Pizza,CAT-03,Wood-Fired Pizzas & Pastas,18.5,13.8,344914.0,257287.2,87626.8,25.41,12038,18644,0.1122,3.56,-0.163,2.04,0.0
ITEM-063,Wild King Salmon Lemon Herb,CAT-05,Chef Specials & Seafood,34.0,16.2,312664.0,148975.2,163688.8,52.35,6204,9196,0.0549,3.64,0.035,11.88,0.0
ITEM-068,Classic Fish & Chips Tartar,CAT-05,Chef Specials & Seafood,19.99,14.5,302588.63,219486.5,83102.13,27.46,9843,15137,0.0925,3.63,-0.101,3.70,0.0
ITEM-031,Margherita Sourdough Pizza,CAT-03,Wood-Fired Pizzas & Pastas,15.99,12.0,299572.65,224820.0,74752.65,24.95,12146,18735,0.1148,3.51,-0.025,2.34,0.0
ITEM-050,Slow-Braised Beef Short Ribs,CAT-04,Prime Steaks & Butcher Cuts,36.0,14.5,296424.0,119393.0,177031.0,59.72,5489,8234,0.0523,3.56,-0.003,6.42,0.0
ITEM-054,Coffee-Crusted Prime Ribeye (14oz),CAT-04,Prime Steaks & Butcher Cuts,52.0,23.0,285532.0,126293.0,159239.0,55.77,3780,5491,0.0361,3.53,0.189,12.37,0.0
ITEM-016,DineIQ Smash Double Cheeseburger,CAT-02,Artisanal Burgers & Handhelds,13.99,10.8,277729.48,214401.6,63327.88,22.8,12728,19852,0.1155,3.68,0.15,2.55,0.0
ITEM-058,BBQ Glazed St. Louis Ribs (Full),CAT-04,Prime Steaks & Butcher Cuts,31.0,14.0,270692.0,122248.0,148444.0,54.84,5853,8732,0.0606,3.56,-0.074,6.69,0.0
ITEM-048,Dry-Aged Bone-in NY Strip (16oz),CAT-04,Prime Steaks & Butcher Cuts,56.0,26.0,260792.0,121082.0,139710.0,53.57,3144,4657,0.0303,3.64,-0.02,14.08,0.0
ITEM-055,Steakhouse Flat Iron Chimichurri,CAT-04,Prime Steaks & Butcher Cuts,26.5,13.2,257739.0,128383.2,129355.8,50.19,6526,9726,0.0615,3.58,0.036,6.46,0.0
ITEM-017,Crispy Buttermilk Chicken Sandwich,CAT-02,Artisanal Burgers & Handhelds,14.5,11.0,250792.0,190256.0,60536.0,24.14,11181,17296,0.1024,3.63,0.009,3.23,0.0
ITEM-038,Creamy Fettuccine Alfredo,CAT-03,Wood-Fired Pizzas & Pastas,16.99,5.2,245284.63,75072.4,170212.23,69.39,9432,14437,0.0893,3.52,-0.149,2.66,0.0
ITEM-002,Classic Buffalo Chicken Wings,CAT-01,Appetizers & Small Plates,14.5,11.2,243832.0,188339.2,55492.8,22.76,10892,16816,0.1018,3.52,0.084,3.08,0.0
ITEM-022,Black Angus Bacon Cheddar,CAT-02,Artisanal Burgers & Handhelds,17.5,8.0,236005.0,107888.0,128117.0,54.29,8812,13486,0.0855,3.63,0.024,4.40,0.0
ITEM-042,Spicy Diavola Pizza,CAT-03,Wood-Fired Pizzas & Pastas,19.0,6.9,225739.0,81978.9,143760.1,63.68,7831,11881,0.0743,3.58,0.242,2.93,0.0
ITEM-135,Red Sangria Pitcher (House Wine),CAT-09,Signature Cocktails & Mocktails,29.0,6.2,224083.0,47907.4,176175.6,78.62,5220,7727,0.05,3.46,-0.245,3.82,0.0
ITEM-037,Spaghetti All'Amatriciana,CAT-03,Wood-Fired Pizzas & Pastas,17.5,5.5,216912.5,68172.5,148740.0,68.57,8125,12395,0.079,3.6,-0.08,3.45,0.0
ITEM-076,DineIQ Signature Caesar Salad,CAT-06,Farm-Fresh Salads & Grain Bowls,12.99,8.8,212243.61,143783.2,68460.41,32.26,10665,16339,0.1018,3.63,-0.02,3.33,0.0
ITEM-041,Calabrian Sausage Rigatoni,CAT-03,Wood-Fired Pizzas & Pastas,20.0,6.8,210560.0,71590.4,138969.6,66.0,6944,10528,0.0635,3.55,-0.202,5.21,0.0
ITEM-044,Lasagna Bolognese Al Forno,CAT-03,Wood-Fired Pizzas & Pastas,21.0,7.9,207207.0,77949.3,129257.7,62.38,6600,9867,0.0618,3.58,0.092,4.45,0.0
ITEM-070,Garlic Butter Tiger Prawns Skewer,CAT-05,Chef Specials & Seafood,27.0,11.5,207063.0,88193.5,118869.5,57.41,5175,7669,0.0511,3.52,-0.067,9.49,0.0
ITEM-122,Signature Smoked Old Fashioned,CAT-09,Signature Cocktails & Mocktails,16.0,3.2,204512.0,40902.4,163609.6,80.0,8362,12782,0.0802,3.63,-0.103,1.59,0.0
ITEM-033,Quattro Formaggi Bianca,CAT-03,Wood-Fired Pizzas & Pastas,18.0,7.5,203796.0,84915.0,118881.0,58.33,7518,11322,0.0787,3.58,0.141,4.42,0.0
ITEM-126,Espresso Martini Vanilla Foam,CAT-09,Signature Cocktails & Mocktails,15.0,2.9,202710.0,39190.6,163519.4,80.67,8779,13514,0.0794,3.63,-0.078,3.01,0.0
ITEM-020,Spicy Nashville Hot Chicken Bun,CAT-02,Artisanal Burgers & Handhelds,15.5,7.5,200322.0,96930.0,103392.0,51.61,8470,12924,0.0789,3.58,-0.209,4.18,0.0
ITEM-067,Seafood Paella Valenciana,CAT-05,Chef Specials & Seafood,35.0,16.0,199675.0,91280.0,108395.0,54.29,3833,5705,0.0366,3.74,0.203,59.74,0.0
ITEM-132,Aperol Spritz Prosecco Orange,CAT-09,Signature Cocktails & Mocktails,13.99,2.6,196125.81,36449.4,159676.41,81.42,9245,14019,0.0896,3.57,0.002,1.61,0.0
ITEM-091,Beyond Meat Gourmet Burger,CAT-07,Vegan & Plant-Based Creations,16.99,11.5,191834.09,129846.5,61987.59,32.31,7464,11291,0.0743,3.52,0.015,4.04,0.0
ITEM-085,Blackened Salmon Cobb Salad,CAT-06,Farm-Fresh Salads & Grain Bowls,21.0,9.8,187278.0,87396.4,99881.6,53.33,5898,8918,0.0566,3.66,-0.232,9.99,0.0
ITEM-106,Molten Chocolate Lava Cake,CAT-08,Handcrafted Desserts & Pastries,10.99,7.8,187203.66,132865.2,54338.46,29.03,10982,17034,0.1016,3.6,-0.053,2.40,0.0
ITEM-059,Bistro Hanger Steak Shallot Jus,CAT-04,Prime Steaks & Butcher Cuts,28.0,13.5,184408.0,88911.0,95497.0,51.79,4442,6586,0.0455,3.64,0.127,8.07,0.0
ITEM-040,Truffled Wild Mushroom Gnocchi,CAT-03,Wood-Fired Pizzas & Pastas,22.0,7.8,183678.0,65122.2,118555.8,64.55,5574,8349,0.048,3.59,-0.018,9.47,0.0
ITEM-049,Colorado Rosemary Lamb Chops,CAT-04,Prime Steaks & Butcher Cuts,44.0,19.5,183172.0,81178.5,101993.5,55.68,2791,4163,0.0264,3.64,-0.286,20.23,0.0
ITEM-086,Sesame Ahi Tuna Poke Bowl,CAT-06,Farm-Fresh Salads & Grain Bowls,19.5,10.2,182091.0,95247.6,86843.4,47.69,6198,9338,0.0589,3.59,-0.016,47.25,0.0
ITEM-089,Southwest Chipotle Chicken Bowl,CAT-06,Farm-Fresh Salads & Grain Bowls,15.5,5.8,179862.0,67303.2,112558.8,62.58,7664,11604,0.0743,3.69,0.029,3.62,0.0
ITEM-092,Truffle Wild Mushroom Risotto,CAT-07,Vegan & Plant-Based Creations,23.0,7.2,177054.0,55425.6,121628.4,68.7,5078,7698,0.0478,3.56,-0.04,9.35,0.0
ITEM-123,Spicy Passionfruit Mezcalita,CAT-09,Signature Cocktails & Mocktails,15.5,3.1,174871.0,34974.2,139896.8,80.0,7492,11282,0.0681,3.63,-0.086,2.32,0.0
ITEM-130,Classic Moscow Mule Copper Mug,CAT-09,Signature Cocktails & Mocktails,13.5,2.5,168736.5,31247.5,137489.0,81.48,8257,12499,0.0811,3.71,0.114,1.14,0.0
