anomaly_category,anomaly_type,entity_id,date,description,financial_impact_or_score
sudden_sales_spikes,Sudden Sales Spike,LOC-018,2025-11-29,"Location LOC-018 daily revenue surged to $8,323.62 (28 orders) on 2025-11-29 (Z-Score: +5.11, baseline: $2,605.65)",8323.62
sudden_sales_spikes,Sudden Sales Spike,LOC-013,2025-11-16,"Location LOC-013 daily revenue surged to $10,862.59 (35 orders) on 2025-11-16 (Z-Score: +4.33, baseline: $3,890.70)",10862.59
sudden_sales_spikes,Sudden Sales Spike,LOC-002,2025-11-09,"Location LOC-002 daily revenue surged to $9,786.28 (33 orders) on 2025-11-09 (Z-Score: +4.23, baseline: $3,673.02)",9786.28
sudden_sales_spikes,Sudden Sales Spike,LOC-020,2025-11-07,"Location LOC-020 daily revenue surged to $7,628.41 (25 orders) on 2025-11-07 (Z-Score: +4.04, baseline: $2,760.27)",7628.41
sudden_sales_spikes,Sudden Sales Spike,LOC-009,2025-08-02,"Location LOC-009 daily revenue surged to $8,221.27 (24 orders) on 2025-08-02 (Z-Score: +4.03, baseline: $2,937.78)",8221.27
sudden_sales_spikes,Sudden Sales Spike,LOC-011,2025-06-20,"Location LOC-011 daily revenue surged to $8,317.89 (30 orders) on 2025-06-20 (Z-Score: +3.96, baseline: $3,123.95)",8317.89
sudden_sales_spikes,Sudden Sales Spike,LOC-001,2025-11-23,"Location LOC-001 daily revenue surged to $11,725.14 (39 orders) on 2025-11-23 (Z-Score: +3.75, baseline: $4,828.59)",11725.14
sudden_sales_spikes,Sudden Sales Spike,LOC-014,2025-12-12,"Location LOC-014 daily revenue surged to $7,688.00 (29 orders) on 2025-12-12 (Z-Score: +3.55, baseline: $3,038.76)",7688.0
sudden_sales_spikes,Sudden Sales Spike,LOC-008,2025-11-22,"Location LOC-008 daily revenue surged to $8,218.04 (30 orders) on 2025-11-22 (Z-Score: +3.54, baseline: $3,204.29)",8218.04
sudden_sales_spikes,Sudden Sales Spike,LOC-016,2025-11-02,"Location LOC-016 daily revenue surged to $9,173.02 (34 orders) on 2025-11-02 (Z-Score: +3.47, baseline: $3,917.04)",9173.02
sudden_sales_spikes,Sudden Sales Spike,LOC-010,2025-12-05,"Location LOC-010 daily revenue surged to $10,789.46 (35 orders) on 2025-12-05 (Z-Score: +3.47, baseline: $4,415.10)",10789.46
sudden_sales_spikes,Sudden Sales Spike,LOC-002,2025-08-09,"Location LOC-002 daily revenue surged to $8,663.46 (31 orders) on 2025-08-09 (Z-Score: +3.45, baseline: $3,673.02)",8663.460000000001
sudden_sales_spikes,Sudden Sales Spike,LOC-018,2025-04-26,"Location LOC-018 daily revenue surged to $6,442.61 (23 orders) on 2025-04-26 (Z-Score: +3.43, baseline: $2,605.65)",6442.61
sudden_sales_spikes,Sudden Sales Spike,LOC-009,2025-07-20,"Location LOC-009 daily revenue surged to $7,438.56 (24 orders) on 2025-07-20 (Z-Score: +3.43, baseline: $2,937.78)",7438.56
sudden_sales_spikes,Sudden Sales Spike,LOC-020,2025-11-09,"Location LOC-020 daily revenue surged to $6,873.32 (25 orders) on 2025-11-09 (Z-Score: +3.41, baseline: $2,760.27)",6873.32
sudden_sales_spikes,Sudden Sales Spike,LOC-019,2025-11-20,"Location LOC-019 daily revenue surged to $6,399.74 (24 orders) on 2025-11-20 (Z-Score: +3.39, baseline: $2,679.80)",6399.74
sudden_sales_spikes,Sudden Sales Spike,LOC-009,2025-11-01,"Location LOC-009 daily revenue surged to $7,334.76 (25 orders) on 2025-11-01 (Z-Score: +3.35, baseline: $2,937.78)",7334.76
sudden_sales_spikes,Sudden Sales Spike,LOC-020,2025-08-10,"Location LOC-020 daily revenue surged to $6,779.23 (23 orders) on 2025-08-10 (Z-Score: +3.34, baseline: $2,760.27)",6779.2300000000005
sudden_sales_spikes,Sudden Sales Spike,LOC-008,2025-11-01,"Location LOC-008 daily revenue surged to $7,856.36 (26 orders) on 2025-11-01 (Z-Score: +3.28, baseline: $3,204.29)",7856.36
sudden_sales_spikes,Sudden Sales Spike,LOC-015,2025-08-17,"Location LOC-015 daily revenue surged to $6,606.47 (23 orders) on 2025-08-17 (Z-Score: +3.28, baseline: $2,712.62)",6606.47
sudden_sales_spikes,Sudden Sales Spike,LOC-011,2025-07-18,"Location LOC-011 daily revenue surged to $7,400.18 (25 orders) on 2025-07-18 (Z-Score: +3.26, baseline: $3,123.95)",7400.18
sudden_sales_spikes,Sudden Sales Spike,LOC-011,2025-11-08,"Location LOC-011 daily revenue surged to $7,347.30 (26 orders) on 2025-11-08 (Z-Score: +3.22, baseline: $3,123.95)",7347.3
sudden_sales_spikes,Sudden Sales Spike,LOC-012,2025-08-23,"Location LOC-012 daily revenue surged to $10,311.29 (32 orders) on 2025-08-23 (Z-Score: +3.21, baseline: $4,604.47)",10311.29
sudden_sales_spikes,Sudden Sales Spike,LOC-015,2025-12-19,"Location LOC-015 daily revenue surged to $6,527.20 (22 orders) on 2025-12-19 (Z-Score: +3.21, baseline: $2,712.62)",6527.2
sudden_sales_spikes,Sudden Sales Spike,LOC-009,2025-11-16,"Location LOC-009 daily revenue surged to $7,146.92 (25 orders) on 2025-11-16 (Z-Score: +3.21, baseline: $2,937.78)",7146.92
sudden_sales_spikes,Sudden Sales Spike,LOC-012,2025-06-29,"Location LOC-012 daily revenue surged to $10,261.70 (38 orders) on 2025-06-29 (Z-Score: +3.18, baseline: $4,604.47)",10261.699999999999
sudden_sales_spikes,Sudden Sales Spike,LOC-010,2025-07-19,"Location LOC-010 daily revenue surged to $10,234.70 (40 orders) on 2025-07-19 (Z-Score: +3.17, baseline: $4,415.10)",10234.7
sudden_sales_spikes,Sudden Sales Spike,LOC-005,2025-12-25,"Location LOC-005 daily revenue surged to $7,006.74 (22 orders) on 2025-12-25 (Z-Score: +3.16, baseline: $3,058.02)",7006.74
