domain,pattern,anomaly_type,entity_id,date,description,score_or_metric
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-009,2025-02-06,Location LOC-009 average rating surged to 5.00 on 2025-02-06 (Z-Score: +3.02),5.0
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-001,2025-04-03,Location LOC-001 average rating surged to 4.71 on 2025-04-03 (Z-Score: +2.98),4.714285714285714
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-001,2025-02-20,Location LOC-001 average rating surged to 4.70 on 2025-02-20 (Z-Score: +2.94),4.7
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-020,2025-02-21,Location LOC-020 average rating surged to 5.00 on 2025-02-21 (Z-Score: +2.92),5.0
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-014,2025-01-29,Location LOC-014 average rating surged to 5.00 on 2025-01-29 (Z-Score: +2.86),5.0
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-014,2025-02-07,Location LOC-014 average rating surged to 5.00 on 2025-02-07 (Z-Score: +2.86),5.0
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-019,2025-11-12,Location LOC-019 average rating surged to 5.00 on 2025-11-12 (Z-Score: +2.81),5.0
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-004,2025-02-06,Location LOC-004 average rating surged to 4.78 on 2025-02-06 (Z-Score: +2.79),4.777777777777778
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-018,2025-04-03,Location LOC-018 average rating surged to 5.00 on 2025-04-03 (Z-Score: +2.71),5.0
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-018,2025-10-02,Location LOC-018 average rating surged to 5.00 on 2025-10-02 (Z-Score: +2.71),5.0
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-003,2025-01-23,Location LOC-003 average rating surged to 5.00 on 2025-01-23 (Z-Score: +2.68),5.0
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-003,2025-02-07,Location LOC-003 average rating surged to 5.00 on 2025-02-07 (Z-Score: +2.68),5.0
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-013,2025-02-14,Location LOC-013 average rating surged to 4.75 on 2025-02-14 (Z-Score: +2.66),4.75
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-013,2025-01-06,Location LOC-013 average rating surged to 4.75 on 2025-01-06 (Z-Score: +2.66),4.75
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-012,2025-09-17,Location LOC-012 average rating surged to 4.56 on 2025-09-17 (Z-Score: +2.57),4.555555555555555
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-002,2025-01-22,Location LOC-002 average rating surged to 4.67 on 2025-01-22 (Z-Score: +2.57),4.666666666666667
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-016,2025-02-03,Location LOC-016 average rating surged to 4.69 on 2025-02-03 (Z-Score: +2.56),4.6923076923076925
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-004,2025-01-21,Location LOC-004 average rating surged to 4.67 on 2025-01-21 (Z-Score: +2.52),4.666666666666667
Ratings,sudden_rating_spikes,Sudden Rating Spike,LOC-006,2025-10-01,Location LOC-006 average rating surged to 4.88 on 2025-10-01 (Z-Score: +2.52),4.875
Ratings,sudden_rating_drops,Sudden Rating Drop,LOC-002,2026-01-02,Location LOC-002 average rating plunged to 1.00 on 2026-01-02 (Z-Score: -6.20),1.0
Ratings,sudden_rating_drops,Sudden Rating Drop,LOC-006,2025-10-17,Location LOC-006 average rating plunged to 1.00 on 2025-10-17 (Z-Score: -5.21),1.0
Ratings,sudden_rating_drops,Sudden Rating Drop,LOC-001,2025-08-27,Location LOC-001 average rating plunged to 1.90 on 2025-08-27 (Z-Score: -4.65),1.9
Ratings,sudden_rating_drops,Sudden Rating Drop,LOC-014,2025-01-15,Location LOC-014 average rating plunged to 1.50 on 2025-01-15 (Z-Score: -4.34),1.5
Ratings,sudden_rating_drops,Sudden Rating Drop,LOC-018,2025-02-26,Location LOC-018 average rating plunged to 1.50 on 2025-02-26 (Z-Score: -4.28),1.5
Ratings,sudden_rating_drops,Sudden Rating Drop,LOC-010,2025-05-22,Location LOC-010 average rating plunged to 2.00 on 2025-05-22 (Z-Score: -4.24),2.0
Ratings,sudden_rating_drops,Sudden Rating Drop,LOC-015,2025-02-13,Location LOC-015 average rating plunged to 1.50 on 2025-02-13 (Z-Score: -4.17),1.5
Ratings,sudden_rating_drops,Sudden Rating Drop,LOC-016,2026-01-02,Location LOC-016 average rating plunged to 2.00 on 2026-01-02 (Z-Score: -3.93),2.0
Ratings,sudden_rating_drops,Sudden Rating Drop,LOC-017,2025-12-31,Location LOC-017 average rating plunged to 2.00 on 2025-12-31 (Z-Score: -3.92),2.0
