antecedent_id,antecedent_name,antecedent_category,consequent_id,consequent_name,consequent_category,support,confidence,lift,leverage,conviction,joint_orders_count
ITEM-131,Yuzu Lavender Gin Tonic,Signature Cocktails & Mocktails,ITEM-128,Hibiscus Berry Botanical Fizz (Mocktail),Signature Cocktails & Mocktails,0.0058,0.0808,1.1293,0.000667,1.0101,527
ITEM-128,Hibiscus Berry Botanical Fizz (Mocktail),Signature Cocktails & Mocktails,ITEM-131,Yuzu Lavender Gin Tonic,Signature Cocktails & Mocktails,0.0058,0.0814,1.1293,0.000667,1.0101,527
ITEM-094,Creamy Cashew Alfredo Tagliatelle,Vegan & Plant-Based Creations,ITEM-107,Classic Madagascar Vanilla Bean Gelato,Handcrafted Desserts & Pastries,0.0063,0.1176,1.1247,0.000694,1.0148,566
ITEM-027,Chipotle Fish Tacos (3pcs),Artisanal Burgers & Handhelds,ITEM-106,Molten Chocolate Lava Cake,Handcrafted Desserts & Pastries,0.0072,0.1359,1.1197,0.000764,1.0168,647
ITEM-092,Truffle Wild Mushroom Risotto,Vegan & Plant-Based Creations,ITEM-033,Quattro Formaggi Bianca,Wood-Fired Pizzas & Pastas,0.0052,0.0922,1.109,0.000508,1.01,468
ITEM-148,Cold Pressed Green Detox Juice,Specialty Coffee & Beverages,ITEM-108,New York Style Cheesecake,Handcrafted Desserts & Pastries,0.0051,0.1203,1.1061,0.000486,1.0131,458
ITEM-145,Sparkling San Pellegrino (750ml),Specialty Coffee & Beverages,ITEM-129,Smoked Rosemary Paloma Tequila,Signature Cocktails & Mocktails,0.0059,0.0838,1.1058,0.000562,1.0088,531
ITEM-080,Roasted Beet & Goat Cheese Bowl,Farm-Fresh Salads & Grain Bowls,ITEM-020,Spicy Nashville Hot Chicken Bun,Artisanal Burgers & Handhelds,0.0054,0.1033,1.1038,0.000507,1.0108,488
ITEM-058,BBQ Glazed St. Louis Ribs (Full),Prime Steaks & Butcher Cuts,ITEM-120,Affogato al Caffe Espresso Scoop,Handcrafted Desserts & Pastries,0.0061,0.0948,1.1037,0.000577,1.0098,555
ITEM-011,Spicy Tuna Crispy Rice,Appetizers & Small Plates,ITEM-026,Classic BLT Sourdough,Artisanal Burgers & Handhelds,0.0053,0.0901,1.1034,0.000495,1.0093,478
ITEM-024,Portobello Mushroom Swiss Burger,Artisanal Burgers & Handhelds,ITEM-076,DineIQ Signature Caesar Salad,Farm-Fresh Salads & Grain Bowls,0.0059,0.1299,1.102,0.000547,1.0138,535
ITEM-081,Thai Crunch Peanut Chicken Salad,Farm-Fresh Salads & Grain Bowls,ITEM-093,Crispy Cauliflower Buffalo Bites,Vegan & Plant-Based Creations,0.0059,0.0834,1.1004,0.000539,1.0083,534
ITEM-050,Slow-Braised Beef Short Ribs,Prime Steaks & Butcher Cuts,ITEM-001,Crispy Parmesan Truffle Fries,Appetizers & Small Plates,0.0085,0.1406,1.1001,0.000776,1.0149,772
ITEM-082,Wild Rice & Avocado Harvest Bowl,Farm-Fresh Salads & Grain Bowls,ITEM-089,Southwest Chipotle Chicken Bowl,Farm-Fresh Salads & Grain Bowls,0.0053,0.0931,1.0987,0.000476,1.0092,480
ITEM-146,Acai Berry Superfood Smoothie,Specialty Coffee & Beverages,ITEM-132,Aperol Spritz Prosecco Orange,Signature Cocktails & Mocktails,0.0069,0.1122,1.0976,0.000616,1.0112,627
ITEM-084,Kale Tahini Caesar Roasted Chickpeas,Farm-Fresh Salads & Grain Bowls,ITEM-004,Garlic Herb Breadsticks,Appetizers & Small Plates,0.007,0.1218,1.0975,0.000625,1.0123,636
ITEM-067,Seafood Paella Valenciana,Chef Specials & Seafood,ITEM-002,Classic Buffalo Chicken Wings,Appetizers & Small Plates,0.0056,0.132,1.0964,0.000492,1.0134,506
ITEM-147,Belgian Hot Chocolate Marshmallows,Specialty Coffee & Beverages,ITEM-127,Zero-Proof Cucumber Mint Cooler,Signature Cocktails & Mocktails,0.0055,0.0872,1.096,0.000486,1.0084,502
ITEM-009,Truffle Whipped Burrata,Appetizers & Small Plates,ITEM-104,Golden Turmeric Lentil Soup Bowl,Vegan & Plant-Based Creations,0.0057,0.0837,1.0957,0.000499,1.008,517
