inventory_id,location_id,item_id,snapshot_date,starting_stock,quantity_received,quantity_sold,quantity_wasted,ending_stock,reorder_point,stock_status
INV-0000001,LOC-001,ITEM-020,2025-01-01,92,33,44,0,81,35,OPTIMAL
INV-0000002,LOC-001,ITEM-115,2025-01-01,110,51,37,1,123,24,OPTIMAL
INV-0000003,LOC-001,ITEM-054,2025-01-01,109,53,80,0,82,25,OPTIMAL
INV-0000004,LOC-001,ITEM-050,2025-01-01,25,56,46,1,34,40,REORDER_TRIGGERED
INV-0000005,LOC-001,ITEM-102,2025-01-01,39,22,54,0,7,27,REORDER_TRIGGERED
INV-0000006,LOC-001,ITEM-028,2025-01-01,28,28,22,1,33,16,OPTIMAL
INV-0000007,LOC-001,ITEM-089,2025-01-01,145,53,21,1,176,36,OPTIMAL
INV-0000008,LOC-001,ITEM-016,2025-01-01,31,14,40,2,3,27,REORDER_TRIGGERED
INV-0000009,LOC-001,ITEM-057,2025-01-01,81,78,96,0,63,19,OPTIMAL
INV-0000010,LOC-001,ITEM-010,2025-01-01,34,54,32,2,54,15,OPTIMAL
INV-0000011,LOC-001,ITEM-107,2025-01-01,99,45,85,1,58,39,OPTIMAL
INV-0000012,LOC-001,ITEM-009,2025-01-01,131,68,57,2,140,39,OPTIMAL
INV-0000013,LOC-001,ITEM-120,2025-01-01,53,55,61,2,45,23,OPTIMAL
INV-0000014,LOC-001,ITEM-116,2025-01-01,32,11,20,0,23,31,REORDER_TRIGGERED
INV-0000015,LOC-001,ITEM-041,2025-01-01,51,34,65,0,20,31,REORDER_TRIGGERED
INV-0000016,LOC-001,ITEM-136,2025-01-01,110,10,49,2,69,15,OPTIMAL
INV-0000017,LOC-001,ITEM-139,2025-01-01,132,71,64,2,137,26,OPTIMAL
INV-0000018,LOC-001,ITEM-080,2025-01-01,23,40,39,0,24,29,REORDER_TRIGGERED
INV-0000019,LOC-001,ITEM-073,2025-01-01,127,12,60,1,78,32,OPTIMAL
INV-0000020,LOC-001,ITEM-047,2025-01-01,74,59,114,2,17,29,REORDER_TRIGGERED
INV-0000021,LOC-001,ITEM-083,2025-01-01,112,73,68,1,116,39,OPTIMAL
INV-0000022,LOC-001,ITEM-143,2025-01-01,123,31,75,2,77,16,OPTIMAL
INV-0000023,LOC-001,ITEM-084,2025-01-01,53,69,103,2,17,29,REORDER_TRIGGERED
INV-0000024,LOC-001,ITEM-003,2025-01-01,144,31,63,1,111,20,OPTIMAL
INV-0000025,LOC-001,ITEM-030,2025-01-01,55,70,125,2,0,19,CRITICAL_OUT_OF_STOCK
INV-0000026,LOC-002,ITEM-077,2025-01-01,45,74,78,1,40,20,OPTIMAL
INV-0000027,LOC-002,ITEM-100,2025-01-01,73,22,73,1,21,18,OPTIMAL
INV-0000028,LOC-002,ITEM-083,2025-01-01,101,77,120,2,56,26,OPTIMAL
INV-0000029,LOC-002,ITEM-143,2025-01-01,92,64,86,1,69,30,OPTIMAL
INV-0000030,LOC-002,ITEM-051,2025-01-01,79,68,61,1,85,18,OPTIMAL
INV-0000031,LOC-002,ITEM-041,2025-01-01,142,80,36,1,185,16,OPTIMAL
INV-0000032,LOC-002,ITEM-015,2025-01-01,62,30,67,0,25,36,REORDER_TRIGGERED
INV-0000033,LOC-002,ITEM-050,2025-01-01,87,14,47,0,54,32,OPTIMAL
INV-0000034,LOC-002,ITEM-036,2025-01-01,91,60,124,0,27,33,REORDER_TRIGGERED
INV-0000035,LOC-002,ITEM-064,2025-01-01,86,80,55,2,109,22,OPTIMAL
INV-0000036,LOC-002,ITEM-065,2025-01-01,113,64,28,1,148,40,OPTIMAL
INV-0000037,LOC-002,ITEM-095,2025-01-01,92,53,130,0,15,37,REORDER_TRIGGERED
INV-0000038,LOC-002,ITEM-012,2025-01-01,78,30,62,0,46,37,OPTIMAL
INV-0000039,LOC-002,ITEM-146,2025-01-01,128,26,82,8,64,23,OPTIMAL
