order_id,customer_id,location_id,order_date,order_time,order_timestamp,order_type,order_status,payment_method,subtotal_amount,discount_amount,tax_amount,tip_amount,delivery_fee,total_amount,promotion_id,table_number
ORD-000001,CUST-27001,LOC-014,2025-06-08,16:07:10,2025-06-08 16:07:10,DINE_IN,COMPLETED,GIFT_CARD,269.96,8.0,21.61,26.2,0.0,309.77,PROMO-005,18
ORD-000002,CUST-01760,LOC-018,2025-12-17,14:40:27,2025-12-17 14:40:27,DELIVERY,COMPLETED,DEBIT_CARD,421.49,0.0,34.77,42.15,4.99,503.4,,0
ORD-000003,CUST-49033,LOC-002,2025-10-09,12:53:12,2025-10-09 12:53:12,DINE_IN,COMPLETED,CREDIT_CARD,224.46,0.0,18.52,40.4,0.0,283.38,,0
ORD-000004,CUST-31299,LOC-012,2025-08-19,13:09:51,2025-08-19 13:09:51,DINE_IN,COMPLETED,DEBIT_CARD,111.24,6.5,8.64,15.71,0.0,129.09,PROMO-006,33
ORD-000005,CUST-02149,LOC-019,2025-03-15,12:10:21,2025-03-15 12:10:21,DINE_IN,COMPLETED,CREDIT_CARD,117.95,0.0,9.73,21.23,0.0,148.91,,39
ORD-000006,CUST-GUEST,LOC-010,2025-03-15,17:17:49,2025-03-15 17:17:49,TAKEOUT,COMPLETED,DEBIT_CARD,263.98,0.0,21.78,0.0,0.0,285.76,,0
ORD-000007,CUST-17818,LOC-005,2025-01-29,19:31:57,2025-01-29 19:31:57,DELIVERY,COMPLETED,CREDIT_CARD,93.47,0.0,7.71,18.69,4.99,124.86,,0
ORD-000008,CUST-GUEST,LOC-014,2025-11-22,18:15:06,2025-11-22 18:15:06,DINE_IN,PENDING,DEBIT_CARD,243.47,0.0,20.09,0.0,0.0,263.56,,30
ORD-000009,CUST-03928,LOC-002,2025-08-20,12:56:44,2025-08-20 12:56:44,DINE_IN,COMPLETED,DEBIT_CARD,345.93,6.5,28.0,50.91,0.0,418.34,PROMO-006,18
ORD-000010,CUST-21062,LOC-014,2025-09-29,14:19:29,2025-09-29 14:19:29,DINE_IN,COMPLETED,CREDIT_CARD,208.99,0.0,17.24,41.8,0.0,268.03,,12
ORD-000011,CUST-GUEST,LOC-008,2025-01-11,07:49:38,2025-01-11 07:49:38,TAKEOUT,COMPLETED,CREDIT_CARD,252.47,20.0,19.18,0.0,0.0,251.65,PROMO-010,0
ORD-000012,CUST-30226,LOC-014,2025-12-22,19:23:57,2025-12-22 19:23:57,DELIVERY,COMPLETED,DEBIT_CARD,240.94,6.5,19.34,42.2,4.99,300.97,PROMO-006,0
ORD-000013,CUST-22435,LOC-006,2025-11-13,11:19:00,2025-11-13 11:19:00,DINE_IN,COMPLETED,CREDIT_CARD,70.95,0.0,5.85,17.74,0.0,94.54,,40
ORD-000014,CUST-28234,LOC-006,2025-04-06,13:45:38,2025-04-06 13:45:38,DINE_IN,COMPLETED,CREDIT_CARD,254.95,0.0,21.03,25.5,0.0,301.48,,40
ORD-000015,CUST-05031,LOC-010,2025-03-25,11:49:29,2025-03-25 11:49:29,DELIVERY,PENDING,CREDIT_CARD,81.49,12.22,5.71,0.0,4.99,79.97,PROMO-011,0
ORD-000016,CUST-26842,LOC-016,2025-03-26,17:01:10,2025-03-26 17:01:10,TAKEOUT,COMPLETED,CREDIT_CARD,309.49,0.0,25.53,0.0,0.0,335.02,,0
ORD-000017,CUST-44360,LOC-016,2025-05-13,15:34:45,2025-05-13 15:34:45,TAKEOUT,PENDING,CREDIT_CARD,143.23,0.0,11.82,0.0,0.0,155.05,,0
ORD-000018,CUST-00458,LOC-002,2025-07-26,12:09:22,2025-07-26 12:09:22,DINE_IN,COMPLETED,CREDIT_CARD,322.92,0.0,26.64,48.44,0.0,398.0,,32
ORD-000019,CUST-25664,LOC-013,2025-06-27,14:37:20,2025-06-27 14:37:20,DINE_IN,COMPLETED,MOBILE_PAY,312.7,0.0,25.8,46.9,0.0,385.4,,5
ORD-000021,CUST-23852,LOC-012,2025-08-24,18:03:47,2025-08-24 18:03:47,DINE_IN,COMPLETED,DEBIT_CARD,152.45,0.0,12.58,22.87,0.0,187.9,,35
ORD-000022,CUST-45748,LOC-020,2025-03-08,12:51:32,2025-03-08 12:51:32,TAKEOUT,COMPLETED,CREDIT_CARD,157.48,0.0,12.99,0.0,0.0,170.47,,0
ORD-000023,CUST-27926,LOC-004,2025-05-09,17:35:03,2025-05-09 17:35:03,DELIVERY,COMPLETED,CREDIT_CARD,163.96,15.0,12.29,22.34,4.99,188.58,PROMO-001,0
ORD-000024,CUST-GUEST,LOC-002,2025-06-06,19:36:29,2025-06-06 19:36:29,TAKEOUT,COMPLETED,CASH,140.97,0.0,11.63,0.0,0.0,152.6,,0
ORD-000026,CUST-29353,LOC-004,2025-10-30,12:42:56,2025-10-30 12:42:56,DRIVE_THRU,COMPLETED,DEBIT_CARD,331.49,0.0,27.35,0.0,0.0,358.84,,0
ORD-000027,CUST-07100,LOC-012,2025-04-01,10:45:39,2025-04-01 10:45:39,DINE_IN,COMPLETED,CASH,181.5,25.0,12.91,23.47,0.0,192.88,PROMO-003,16
ORD-000028,CUST-07717,LOC-014,2025-07-23,20:51:28,2025-07-23 20:51:28,DELIVERY,COMPLETED,MOBILE_PAY,205.43,10.0,16.12,35.18,4.99,251.72,PROMO-007,0
ORD-000029,CUST-38375,LOC-007,2025-08-17,12:08:38,2025-08-17 12:08:38,DINE_IN,COMPLETED,CREDIT_CARD,136.72,15.0,10.04,24.34,0.0,156.1,PROMO-001,25
ORD-000030,CUST-44859,LOC-009,2025-01-24,11:25:30,2025-01-24 11:25:30,TAKEOUT,COMPLETED,DEBIT_CARD,238.48,8.0,19.01,0.0,0.0,249.49,PROMO-005,0
ORD-000031,CUST-26808,LOC-002,2025-08-22,17:55:10,2025-08-22 17:55:10,TAKEOUT,COMPLETED,DEBIT_CARD,183.48,0.0,15.14,0.0,0.0,198.62,,0
ORD-000032,CUST-49524,LOC-019,2025-03-21,14:20:29,2025-03-21 14:20:29,DINE_IN,COMPLETED,DEBIT_CARD,173.0,0.0,14.27,31.14,0.0,218.41,,16
ORD-000033,CUST-34464,LOC-004,2025-02-01,19:25:30,2025-02-01 19:25:30,DELIVERY,COMPLETED,CREDIT_CARD,170.96,0.0,14.1,25.64,4.99,215.69,,0
ORD-000034,CUST-30751,LOC-017,2025-12-16,18:05:39,2025-12-16 18:05:39,DINE_IN,COMPLETED,DEBIT_CARD,118.46,17.77,8.31,15.1,0.0,124.1,PROMO-011,9
ORD-000036,CUST-12710,LOC-013,2025-11-06,09:02:24,2025-11-06 09:02:24,DINE_IN,COMPLETED,CREDIT_CARD,319.95,0.0,26.4,47.99,0.0,394.34,,24
ORD-000037,CUST-GUEST,LOC-001,2025-05-13,09:17:54,2025-05-13 09:17:54,DELIVERY,COMPLETED,CREDIT_CARD,231.92,40.0,15.83,28.79,4.99,241.53,PROMO-009,0
ORD-000038,CUST-33833,LOC-020,2025-02-17,20:08:26,2025-02-17 20:08:26,TAKEOUT,COMPLETED,CASH,149.97,0.0,12.37,0.0,0.0,162.34,,0
ORD-000039,CUST-24259,LOC-012,2025-09-20,21:38:05,2025-09-20 21:38:05,DELIVERY,COMPLETED,CREDIT_CARD,80.24,15.0,5.38,13.05,4.99,88.66,PROMO-001,0
ORD-000040,CUST-35203,LOC-010,2025-06-29,12:47:48,2025-06-29 12:47:48,DELIVERY,COMPLETED,CREDIT_CARD,236.2,0.0,19.49,42.52,4.99,303.2,,0
ORD-000042,CUST-10191,LOC-013,2025-07-17,12:31:23,2025-07-17 12:31:23,TAKEOUT,COMPLETED,MOBILE_PAY,191.93,0.0,15.83,0.0,0.0,207.76,,0
ORD-000043,CUST-40344,LOC-006,2025-01-18,18:50:21,2025-01-18 18:50:21,TAKEOUT,COMPLETED,CREDIT_CARD,243.48,0.0,20.09,0.0,0.0,263.57,,0
ORD-000044,CUST-07806,LOC-002,2025-12-05,18:01:43,2025-12-05 18:01:43,DELIVERY,COMPLETED,CREDIT_CARD,319.98,0.0,26.4,57.6,4.99,408.97,,0
ORD-000045,CUST-28027,LOC-001,2025-04-25,11:45:10,2025-04-25 11:45:10,DINE_IN,COMPLETED,CREDIT_CARD,331.46,40.0,24.05,52.46,0.0,367.97,PROMO-009,4
ORD-000046,CUST-41178,LOC-001,2025-09-11,12:09:06,2025-09-11 12:09:06,DELIVERY,COMPLETED,DEBIT_CARD,176.25,0.0,14.54,26.44,4.99,222.22,,0
ORD-000047,CUST-13965,LOC-010,2025-05-16,11:59:37,2025-05-16 11:59:37,DINE_IN,COMPLETED,CREDIT_CARD,146.48,0.0,12.08,21.97,0.0,180.53,,40
ORD-000048,CUST-14698,LOC-007,2025-07-25,08:18:09,2025-07-25 08:18:09,DRIVE_THRU,COMPLETED,MOBILE_PAY,171.42,0.0,14.14,0.0,0.0,185.56,,0
ORD-000049,CUST-29276,LOC-005,2025-08-03,09:06:17,2025-08-03 09:06:17,TAKEOUT,COMPLETED,CREDIT_CARD,312.43,0.0,25.78,0.0,0.0,338.21,,0
ORD-000050,CUST-34692,LOC-017,2025-03-27,10:54:23,2025-03-27 10:54:23,DELIVERY,COMPLETED,CREDIT_CARD,278.22,0.0,22.95,50.08,4.99,356.24,,0
ORD-000051,CUST-03357,LOC-001,2025-12-22,08:25:37,2025-12-22 08:25:37,DELIVERY,COMPLETED,MOBILE_PAY,304.96,0.0,25.16,45.74,4.99,380.85,,0
ORD-000052,CUST-37091,LOC-011,2025-10-26,13:01:19,2025-10-26 13:01:19,DINE_IN,COMPLETED,CREDIT_CARD,223.72,0.0,18.46,40.27,0.0,282.45,,40
ORD-000053,CUST-28672,LOC-011,2025-12-14,09:28:47,2025-12-14 09:28:47,DRIVE_THRU,COMPLETED,MOBILE_PAY,272.96,15.0,21.28,0.0,0.0,279.24,PROMO-001,0
ORD-000054,CUST-GUEST,LOC-014,2025-12-01,19:01:40,2025-12-01 19:01:40,DINE_IN,COMPLETED,CREDIT_CARD,160.96,0.0,13.28,28.97,0.0,203.21,,11
ORD-000055,CUST-GUEST,LOC-013,2025-08-19,18:34:25,2025-08-19 18:34:25,DELIVERY,COMPLETED,CASH,131.73,0.0,10.87,26.35,4.99,173.94,,0
ORD-000056,CUST-46193,LOC-008,2025-12-08,18:25:28,2025-12-08 18:25:28,TAKEOUT,COMPLETED,DEBIT_CARD,208.98,8.0,16.58,0.0,0.0,217.56,PROMO-005,0
ORD-000057,CUST-44560,LOC-012,2025-02-13,17:21:14,2025-02-13 17:21:14,TAKEOUT,COMPLETED,MOBILE_PAY,86.25,0.0,7.12,0.0,0.0,93.37,,0
ORD-000058,CUST-19970,LOC-019,2025-03-30,17:59:16,2025-03-30 17:59:16,DELIVERY,COMPLETED,CREDIT_CARD,304.88,20.0,23.5,42.73,4.99,356.1,PROMO-004,0
ORD-000059,CUST-20203,LOC-006,2025-01-23,10:47:27,2025-01-23 10:47:27,DINE_IN,COMPLETED,CASH,245.72,0.0,20.27,61.43,0.0,327.42,,7
ORD-000060,CUST-26826,LOC-017,2025-05-22,09:04:37,2025-05-22 09:04:37,DINE_IN,COMPLETED,CASH,124.97,0.0,10.31,18.75,0.0,154.03,,21
ORD-000061,CUST-17230,LOC-020,2025-06-13,22:42:29,2025-06-13 22:42:29,DINE_IN,COMPLETED,MOBILE_PAY,181.75,0.0,14.99,27.26,0.0,224.0,,2
ORD-000062,CUST-31412,LOC-016,2025-04-30,12:55:39,2025-04-30 12:55:39,DELIVERY,COMPLETED,CREDIT_CARD,177.47,6.5,14.11,30.77,4.99,220.84,PROMO-006,0
ORD-000064,CUST-22811,LOC-017,2025-06-02,11:33:22,2025-06-02 11:33:22,DINE_IN,COMPLETED,CREDIT_CARD,311.99,20.0,24.09,43.8,0.0,359.88,PROMO-004,0
ORD-000065,CUST-49596,LOC-011,2025-05-04,19:03:14,2025-05-04 19:03:14,DINE_IN,COMPLETED,CREDIT_CARD,405.94,25.0,31.43,68.57,0.0,480.94,PROMO-003,0
ORD-000066,CUST-05169,LOC-017,2025-08-01,11:00:43,2025-08-01 11:00:43,DINE_IN,COMPLETED,GIFT_CARD,305.41,0.0,25.2,30.54,0.0,361.15,,0
ORD-000067,CUST-05973,LOC-008,2025-03-09,13:57:02,2025-03-09 13:57:02,DINE_IN,COMPLETED,MOBILE_PAY,177.25,40.0,11.32,24.7,0.0,173.27,PROMO-009,11
ORD-000068,CUST-05331,LOC-019,2025-11-04,17:24:09,2025-11-04 17:24:09,DELIVERY,COMPLETED,CREDIT_CARD,193.43,0.0,15.96,19.34,4.99,233.72,,0
ORD-000069,CUST-16702,LOC-006,2025-02-07,21:51:47,2025-02-07 21:51:47,DINE_IN,COMPLETED,CREDIT_CARD,168.92,15.0,12.7,15.39,0.0,182.01,PROMO-002,34
ORD-000070,CUST-47652,LOC-007,2025-12-27,07:04:45,2025-12-27 07:04:45,DRIVE_THRU,COMPLETED,CASH,237.98,0.0,19.63,0.0,0.0,257.61,,0
ORD-000071,CUST-34962,LOC-010,2025-10-25,13:33:51,2025-10-25 13:33:51,DINE_IN,COMPLETED,CREDIT_CARD,425.44,0.0,35.1,42.54,0.0,503.08,,30
ORD-000072,CUST-21358,LOC-016,2025-04-01,23:17:10,2025-04-01 23:17:10,TAKEOUT,COMPLETED,DEBIT_CARD,178.91,12.0,13.77,0.0,0.0,180.68,PROMO-008,0
ORD-000074,CUST-40431,LOC-015,2025-11-08,10:11:19,2025-11-08 10:11:19,DINE_IN,COMPLETED,CREDIT_CARD,305.43,20.0,23.55,71.36,0.0,380.34,PROMO-010,26
ORD-000075,CUST-09002,LOC-005,2025-09-28,09:13:59,2025-09-28 09:13:59,DELIVERY,COMPLETED,CREDIT_CARD,228.94,0.0,18.89,34.34,4.99,287.16,,0
ORD-000076,CUST-49489,LOC-005,2025-10-07,13:49:30,2025-10-07 13:49:30,TAKEOUT,COMPLETED,CREDIT_CARD,193.23,0.0,15.94,0.0,0.0,209.17,,0
ORD-000077,CUST-23545,LOC-013,2025-10-24,12:38:17,2025-10-24 12:38:17,TAKEOUT,PENDING,CREDIT_CARD,191.97,0.0,15.84,0.0,0.0,207.81,,0
ORD-000078,CUST-38490,LOC-002,2025-02-06,18:48:28,2025-02-06 18:48:28,DRIVE_THRU,COMPLETED,CREDIT_CARD,289.2,0.0,23.86,0.0,0.0,313.06,,0
ORD-000079,CUST-47073,LOC-020,2025-06-03,15:13:54,2025-06-03 15:13:54,TAKEOUT,COMPLETED,MOBILE_PAY,133.98,0.0,11.05,0.0,0.0,145.03,,0
ORD-000080,CUST-19458,LOC-002,2025-02-27,16:43:18,2025-02-27 16:43:18,TAKEOUT,COMPLETED,CREDIT_CARD,211.42,0.0,17.44,0.0,0.0,228.86,,0
ORD-000081,CUST-20532,LOC-002,2025-11-22,14:08:22,2025-11-22 14:08:22,DINE_IN,COMPLETED,CREDIT_CARD,170.96,0.0,14.1,30.77,0.0,215.83,,38
ORD-000082,CUST-11982,LOC-018,2025-08-28,22:03:42,2025-08-28 22:03:42,DELIVERY,COMPLETED,DEBIT_CARD,328.89,8.0,26.47,32.09,4.99,384.44,PROMO-005,0
ORD-000083,CUST-27168,LOC-012,2025-05-24,14:41:51,2025-05-24 14:41:51,DRIVE_THRU,COMPLETED,CREDIT_CARD,143.99,0.0,11.88,0.0,0.0,155.87,,0
ORD-000084,CUST-13839,LOC-009,2025-02-01,09:18:58,2025-02-01 09:18:58,DINE_IN,COMPLETED,MOBILE_PAY,225.94,0.0,18.64,45.19,0.0,289.77,,4
ORD-000085,CUST-37325,LOC-007,2025-05-16,12:22:14,2025-05-16 12:22:14,DINE_IN,COMPLETED,CREDIT_CARD,70.97,0.0,5.86,10.65,0.0,87.48,,34
ORD-000086,CUST-00947,LOC-009,2025-05-22,18:45:26,2025-05-22 18:45:26,TAKEOUT,COMPLETED,CASH,301.48,0.0,24.87,0.0,0.0,326.35,,0
ORD-000087,CUST-36545,LOC-001,2025-10-08,17:28:58,2025-10-08 17:28:58,DELIVERY,COMPLETED,CREDIT_CARD,391.0,0.0,32.26,39.1,4.99,467.35,,0
ORD-000088,CUST-43951,LOC-003,2025-09-01,17:08:53,2025-09-01 17:08:53,DINE_IN,COMPLETED,DEBIT_CARD,237.92,40.0,16.33,35.63,0.0,249.88,PROMO-009,40
ORD-000089,CUST-11704,LOC-012,2025-11-29,20:24:39,2025-11-29 20:24:39,DINE_IN,COMPLETED,GIFT_CARD,192.45,0.0,15.88,28.87,0.0,237.2,,19
ORD-000090,CUST-07529,LOC-020,2025-07-10,13:16:30,2025-07-10 13:16:30,TAKEOUT,COMPLETED,MOBILE_PAY,216.74,15.0,16.64,0.0,0.0,218.38,PROMO-001,0
ORD-000091,CUST-29758,LOC-005,2025-03-01,07:05:01,2025-03-01 07:05:01,DINE_IN,COMPLETED,DEBIT_CARD,232.99,25.0,17.16,31.2,0.0,256.35,PROMO-011,39
ORD-000092,CUST-45086,LOC-016,2025-10-01,22:35:34,2025-10-01 22:35:34,DELIVERY,COMPLETED,CREDIT_CARD,140.47,6.5,11.05,20.1,4.99,170.11,PROMO-006,0
ORD-000093,CUST-GUEST,LOC-004,2025-10-20,13:50:03,2025-10-20 13:50:03,DINE_IN,COMPLETED,DEBIT_CARD,273.97,0.0,22.6,41.1,0.0,337.67,,1
ORD-000094,CUST-47296,LOC-011,2025-08-08,10:11:46,2025-08-08 10:11:46,TAKEOUT,COMPLETED,CREDIT_CARD,72.98,14.6,4.82,0.0,0.0,63.2,PROMO-001,0
ORD-000095,CUST-39203,LOC-001,2025-10-24,15:23:17,2025-10-24 15:23:17,TAKEOUT,COMPLETED,CREDIT_CARD,229.46,8.0,18.27,0.0,0.0,239.73,PROMO-005,0
ORD-000096,CUST-13789,LOC-006,2025-07-17,16:44:23,2025-07-17 16:44:23,DINE_IN,COMPLETED,DEBIT_CARD,325.46,0.0,26.85,58.58,0.0,410.89,,0
ORD-000097,CUST-48036,LOC-006,2025-07-26,15:57:25,2025-07-26 15:57:25,DELIVERY,COMPLETED,CREDIT_CARD,225.96,20.0,16.99,20.6,4.99,248.54,PROMO-004,0
ORD-000099,CUST-48618,LOC-013,2025-01-13,12:14:48,2025-01-13 12:14:48,DRIVE_THRU,COMPLETED,DEBIT_CARD,567.43,0.0,46.81,0.0,0.0,614.24,,0
ORD-000100,CUST-25122,LOC-012,2025-02-23,08:01:15,2025-02-23 08:01:15,DELIVERY,COMPLETED,CREDIT_CARD,210.24,0.0,17.34,37.84,4.99,270.41,,0
ORD-000116,CUST-07207,LOC-019,2025-02-31,18:20:05,2025-11-24 18:20:05,TAKEOUT,COMPLETED,CREDIT_CARD,284.45,0.0,23.47,0.0,0.0,307.92,,0
ORD-000117,CUST-04957,LOC-017,2025-02-31,09:18:40,2025-11-05 09:18:40,DELIVERY,COMPLETED,CREDIT_CARD,244.18,0.0,20.14,43.95,4.99,313.26,,0
ORD-000118,CUST-18447,LOC-001,2025-02-31,13:32:52,2025-03-27 13:32:52,TAKEOUT,COMPLETED,MOBILE_PAY,295.49,0.0,24.38,0.0,0.0,319.87,,0
ORD-000119,CUST-14914,LOC-005,2025-02-31,18:53:20,2025-11-30 18:53:20,DELIVERY,COMPLETED,CREDIT_CARD,233.96,0.0,19.3,42.11,4.99,300.36,,0
ORD-000121,CUST-11815,LOC-015,2025-02-31,11:45:03,2025-11-06 11:45:03,TAKEOUT,COMPLETED,CREDIT_CARD,234.73,25.0,17.3,0.0,0.0,227.03,PROMO-003,0
