order_id,customer_id,location_id,order_date,order_time,order_timestamp,order_type,order_status,payment_method,subtotal_amount,discount_amount,tax_amount,tip_amount,delivery_fee,total_amount,promotion_id,table_number
ORD-000020,CUST-44010,LOC-019,2025-05-08,11:34:19,2025-05-08 11:34:19,DRIVE_THRU,CANCELLED,MOBILE_PAY,95.74,0.0,7.9,0.0,0.0,103.64,,0
ORD-000025,CUST-45890,LOC-002,2025-07-05,08:56:53,2025-07-05 08:56:53,DINE_IN,CANCELLED,CREDIT_CARD,238.95,10.0,18.89,0.0,0.0,247.84,PROMO-007,40
ORD-000035,CUST-28368,LOC-006,2025-12-21,21:11:15,2025-12-21 21:11:15,TAKEOUT,CANCELLED,DEBIT_CARD,158.98,0.0,13.12,0.0,0.0,172.1,,0
ORD-000041,CUST-46991,LOC-002,2025-03-01,13:41:38,2025-03-01 13:41:38,DINE_IN,REFUNDED,CREDIT_CARD,159.98,0.0,13.2,0.0,0.0,173.18,,17
ORD-000063,CUST-15150,LOC-001,2025-11-12,08:23:02,2025-11-12 08:23:02,DELIVERY,REFUNDED,DEBIT_CARD,87.47,0.0,7.22,0.0,4.99,99.68,,0
ORD-000073,CUST-19352,LOC-013,2025-01-03,10:36:57,2025-01-03 10:36:57,DINE_IN,CANCELLED,DEBIT_CARD,249.43,0.0,20.58,0.0,0.0,270.01,,19
ORD-000098,CUST-14275,LOC-008,2025-06-26,21:26:40,2025-06-26 21:26:40,TAKEOUT,CANCELLED,CREDIT_CARD,150.5,8.0,11.76,0.0,0.0,154.26,PROMO-005,0
ORD-000120,CUST-03965,LOC-020,2025-02-31,09:39:50,2025-08-01 09:39:50,DINE_IN,CANCELLED,CREDIT_CARD,224.95,12.0,17.57,0.0,0.0,230.52,PROMO-008,7
ORD-000148,CUST-07780,LOC-015,2025-07-19,17:46:13,2025-07-19 17:46:13,DELIVERY,CANCELLED,CREDIT_CARD,278.74,12.0,22.01,0.0,4.99,293.74,PROMO-008,0
ORD-000153,CUST-01100,LOC-009,2025-03-10,10:09:13,2025-03-10 10:09:13,TAKEOUT,CANCELLED,DEBIT_CARD,225.5,0.0,18.6,0.0,0.0,244.1,,0
ORD-000176,CUST-16288,LOC-009,2025-03-22,11:51:38,2025-03-22 11:51:38,DINE_IN,CANCELLED,CREDIT_CARD,168.46,0.0,13.9,0.0,0.0,182.36,,0
ORD-000232,CUST-36797,LOC-013,2025-07-19,12:25:47,2025-07-19 12:25:47,DELIVERY,CANCELLED,CREDIT_CARD,219.97,0.0,18.15,0.0,4.99,243.11,,0
ORD-000234,CUST-26039,LOC-006,2025-07-16,11:59:31,2025-07-16 11:59:31,DELIVERY,CANCELLED,CREDIT_CARD,189.95,8.0,15.01,0.0,4.99,201.95,PROMO-005,0
ORD-000237,CUST-01881,LOC-014,2025-05-04,20:35:49,2025-05-04 20:35:49,TAKEOUT,REFUNDED,MOBILE_PAY,235.43,15.0,18.19,0.0,0.0,238.62,PROMO-012,0
ORD-000242,CUST-13498,LOC-010,2025-12-18,15:38:07,2025-12-18 15:38:07,DELIVERY,CANCELLED,CREDIT_CARD,169.24,40.0,10.66,0.0,4.99,144.89,PROMO-009,0
ORD-000266,CUST-20581,LOC-018,2025-10-12,13:58:38,2025-10-12 13:58:38,DELIVERY,REFUNDED,CREDIT_CARD,236.0,0.0,19.47,0.0,4.99,260.46,,0
ORD-000277,CUST-15220,LOC-015,2025-11-03,13:32:38,2025-11-03 13:32:38,DINE_IN,CANCELLED,CASH,268.68,20.0,20.52,0.0,0.0,269.2,PROMO-004,24
ORD-000278,CUST-40944,LOC-002,2025-09-06,13:02:40,2025-09-06 13:02:40,DRIVE_THRU,REFUNDED,CREDIT_CARD,259.5,40.0,18.11,0.0,0.0,237.61,PROMO-009,0
ORD-000288,CUST-16362,LOC-009,2025-08-01,08:57:45,2025-08-01 08:57:45,TAKEOUT,CANCELLED,CREDIT_CARD,271.72,12.0,21.43,0.0,0.0,281.15,PROMO-008,0
ORD-000294,CUST-28054,LOC-002,2025-06-04,13:24:02,2025-06-04 13:24:02,DINE_IN,CANCELLED,CREDIT_CARD,143.95,8.0,11.22,0.0,0.0,147.17,PROMO-005,10
ORD-000317,CUST-22848,LOC-005,2025-06-20,13:51:09,2025-06-20 13:51:09,DINE_IN,CANCELLED,CREDIT_CARD,158.95,158.95,0.0,0.0,0.0,0.0,,31
ORD-000322,CUST-36208,LOC-014,2025-10-02,14:29:26,2025-10-02 14:29:26,DELIVERY,CANCELLED,DEBIT_CARD,184.98,184.98,0.0,0.0,4.99,4.99,PROMO-005,0
ORD-000345,CUST-37091,LOC-014,2025-06-16,11:17:41,2025-06-16 11:17:41,DINE_IN,CANCELLED,CREDIT_CARD,203.47,8.0,16.13,0.0,0.0,211.6,PROMO-005,5
ORD-000384,CUST-15428,LOC-015,2025-11-26,16:16:35,2025-11-26 16:16:35,DELIVERY,CANCELLED,CREDIT_CARD,295.46,0.0,24.38,0.0,4.99,324.83,,0
ORD-000393,CUST-11469,LOC-011,2025-06-07,13:22:50,2025-06-07 13:22:50,DELIVERY,REFUNDED,MOBILE_PAY,190.21,0.0,15.69,0.0,4.99,210.89,,0
ORD-000407,CUST-13669,LOC-002,2025-06-13,20:21:34,2025-06-13 20:21:34,DELIVERY,CANCELLED,CREDIT_CARD,230.99,12.0,18.07,0.0,4.99,242.05,PROMO-008,0
ORD-000411,CUST-07677,LOC-002,2025-05-19,17:04:01,2025-05-19 17:04:01,TAKEOUT,CANCELLED,CREDIT_CARD,187.96,25.0,13.44,0.0,0.0,176.4,PROMO-003,0
ORD-000412,CUST-26599,LOC-014,2025-12-17,11:09:18,2025-12-17 11:09:18,DINE_IN,CANCELLED,CREDIT_CARD,483.38,12.0,38.89,0.0,0.0,510.27,PROMO-008,3
ORD-000419,CUST-47099,LOC-006,2025-09-15,10:09:44,2025-09-15 10:09:44,DRIVE_THRU,CANCELLED,CREDIT_CARD,602.5,0.0,49.71,0.0,0.0,652.21,,0
ORD-000454,CUST-31806,LOC-012,2025-12-05,14:46:20,2025-12-05 14:46:20,TAKEOUT,CANCELLED,CREDIT_CARD,143.99,8.0,11.22,0.0,0.0,147.21,PROMO-005,0
ORD-000467,CUST-14654,LOC-006,2025-05-05,16:07:43,2025-05-05 16:07:43,DELIVERY,REFUNDED,DEBIT_CARD,354.23,20.0,27.57,0.0,4.99,366.79,PROMO-010,0
ORD-000483,CUST-11514,LOC-008,2025-07-04,20:32:30,2025-07-04 20:32:30,TAKEOUT,CANCELLED,GIFT_CARD,199.49,8.0,15.8,0.0,0.0,207.29,PROMO-005,0
ORD-000491,CUST-36832,LOC-002,2025-07-04,17:32:51,2025-07-04 17:32:51,DINE_IN,CANCELLED,MOBILE_PAY,165.99,0.0,13.69,0.0,0.0,179.68,,38
ORD-000494,CUST-36603,LOC-010,2025-03-28,12:22:11,2025-03-28 12:22:11,TAKEOUT,CANCELLED,MOBILE_PAY,212.48,0.0,17.53,0.0,0.0,230.01,,0
