price_history_id,item_id,location_id,base_price,cost_price,effective_start_date,effective_end_date,change_reason,complexity_profile
PRH-000001,ITEM-001,ALL,8.99,6.75,2025-01-01,2025-06-30,INITIAL_BASELINE,POPULAR_LOW_MARGIN
PRH-000002,ITEM-001,ALL,9.26,7.29,2025-07-01,2025-12-31,SUPPLY_COST_SURGE_UNABSORBED,POPULAR_LOW_MARGIN
PRH-000003,ITEM-002,ALL,14.5,11.2,2025-01-01,2025-06-30,INITIAL_BASELINE,POPULAR_LOW_MARGIN
PRH-000004,ITEM-002,ALL,14.94,12.1,2025-07-01,2025-12-31,SUPPLY_COST_SURGE_UNABSORBED,POPULAR_LOW_MARGIN
PRH-000005,ITEM-003,ALL,9.5,7.1,2025-01-01,2025-06-30,INITIAL_BASELINE,POPULAR_LOW_MARGIN
PRH-000006,ITEM-003,ALL,9.79,7.67,2025-07-01,2025-12-31,SUPPLY_COST_SURGE_UNABSORBED,POPULAR_LOW_MARGIN
PRH-000007,ITEM-004,ALL,6.99,4.8,2025-01-01,2025-06-30,INITIAL_BASELINE,POPULAR_LOW_MARGIN
PRH-000008,ITEM-004,ALL,7.2,5.18,2025-07-01,2025-12-31,SUPPLY_COST_SURGE_UNABSORBED,POPULAR_LOW_MARGIN
PRH-000009,ITEM-005,ALL,21.0,11.5,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000010,ITEM-005,ALL,22.05,12.19,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000011,ITEM-006,ALL,19.5,10.2,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000012,ITEM-006,ALL,20.48,10.81,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000013,ITEM-007,ALL,15.99,7.5,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000014,ITEM-007,ALL,16.79,7.8,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000015,ITEM-008,ALL,65.0,16.5,2025-01-01,2025-06-30,INITIAL_BASELINE,PROFITABLE_LOW_SELLING
PRH-000016,ITEM-008,ALL,69.55,17.0,2025-07-01,2025-12-31,PREMIUM_TIER_OPTIMIZATION,PROFITABLE_LOW_SELLING
PRH-000017,ITEM-009,ALL,17.5,7.8,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000018,ITEM-009,ALL,18.38,8.11,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000019,ITEM-010,ALL,16.0,7.0,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000020,ITEM-010,ALL,16.8,7.28,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000021,ITEM-011,ALL,18.0,9.8,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000022,ITEM-011,ALL,18.9,10.39,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000023,ITEM-012,ALL,11.5,4.2,2025-01-01,2025-06-30,INITIAL_BASELINE,PRICE_SENSITIVE
PRH-000024,ITEM-012,ALL,12.08,4.37,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,PRICE_SENSITIVE
PRH-000025,ITEM-013,ALL,12.99,5.5,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000026,ITEM-013,ALL,13.64,5.72,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000027,ITEM-014,ALL,11.0,4.5,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000028,ITEM-014,ALL,11.55,4.68,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000029,ITEM-015,ALL,13.5,5.2,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000030,ITEM-015,ALL,14.18,5.41,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000031,ITEM-016,ALL,13.99,10.8,2025-01-01,2025-06-30,INITIAL_BASELINE,POPULAR_LOW_MARGIN
