customer_id,recency,frequency,monetary_value,average_order_value,visit_frequency,favorite_menu_categories,promotion_sensitivity,ordering_channel,time_of_day_preference,repeat_behavior,r_score,f_score,m_score,rfm_cell,rfm_composite_index,customer_segment
CUST-00001,333,1,133.01,133.01,180.0,Artisanal Burgers & Handhelds,1.0,DINE_IN,Dinner,0.0,1,1,2,112,1.3,Occasional Customers
CUST-00002,91,1,438.06,438.06,180.0,Signature Cocktails & Mocktails,0.0,DINE_IN,Dinner,0.0,4,1,3,413,2.8,Occasional Customers
CUST-00003,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00004,54,3,815.64,271.88,83.0,Specialty Coffee & Beverages,0.0,DINE_IN,Dinner,0.0714,4,4,5,445,4.3,High-Value Loyal Customers
CUST-00005,233,1,361.64,361.64,180.0,Vegan & Plant-Based Creations,0.0,DINE_IN,Lunch,0.0,2,1,3,213,2.0,Occasional Customers
CUST-00006,106,1,222.97,222.97,180.0,Artisanal Burgers & Handhelds,1.0,DRIVE_THRU,Dinner,0.0,3,1,2,312,2.1,Occasional Customers
CUST-00007,81,1,195.37,195.37,180.0,Wood-Fired Pizzas & Pastas,0.0,DELIVERY,Dinner,0.0,4,1,2,412,2.5,Occasional Customers
CUST-00008,360,1,357.34,357.34,180.0,Handcrafted Desserts & Pastries,1.0,DINE_IN,Lunch,0.0,1,1,3,113,1.6,Occasional Customers
CUST-00009,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00010,41,4,1201.73,300.43,106.0,Specialty Coffee & Beverages,0.5,TAKEOUT,Dinner,0.1351,4,5,5,455,4.6,Promotion-Driven Customers
CUST-00011,83,2,316.22,158.11,111.0,Vegan & Plant-Based Creations,1.0,TAKEOUT,Dinner,0.0,4,3,3,433,3.4,Promotion-Driven Customers
CUST-00012,41,3,875.06,291.69,30.5,Artisanal Burgers & Handhelds,0.3333,DINE_IN,Dinner,0.0,4,4,5,445,4.3,High-Value Loyal Customers
CUST-00013,305,1,241.33,241.33,180.0,Signature Cocktails & Mocktails,0.0,TAKEOUT,Dinner,0.0,2,1,2,212,1.7,Occasional Customers
CUST-00014,210,3,805.87,268.62,27.5,Wood-Fired Pizzas & Pastas,0.0,TAKEOUT,Dinner,0.1071,2,4,5,245,3.5,At-Risk Customers
CUST-00015,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00016,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00017,84,1,131.85,131.85,180.0,Chef Specials & Seafood,1.0,DINE_IN,Dinner,0.0,4,1,2,412,2.5,Occasional Customers
CUST-00018,135,1,421.88,421.88,180.0,Handcrafted Desserts & Pastries,0.0,DINE_IN,Dinner,0.0,3,1,3,313,2.4,Occasional Customers
CUST-00019,173,2,467.63,233.82,137.0,Artisanal Burgers & Handhelds,0.5,DINE_IN,Dinner,0.0556,3,3,3,333,3.0,At-Risk Customers
