customer_id,customer_recency,customer_frequency,customer_monetary_value,average_order_value,promotion_sensitivity,first_order_date,last_order_date,lunch_orders,dinner_orders,late_night_orders,r_score,f_score,m_score,rfm_cell,rfm_composite_index
CUST-00001,333,1,133.01,133.01,1.0,2025-02-01,2025-02-01,0,1,0,1,1,2,112,1.3
CUST-00002,91,1,438.06,438.06,0.0,2025-10-01,2025-10-01,0,0,0,4,1,3,413,2.8
CUST-00003,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00004,54,3,815.64,271.88,0.0,2025-05-25,2025-11-07,1,2,0,4,4,5,445,4.3
CUST-00005,233,1,361.64,361.64,0.0,2025-05-12,2025-05-12,1,0,0,2,1,3,213,2.0
CUST-00006,106,1,222.97,222.97,1.0,2025-09-16,2025-09-16,0,0,0,3,1,2,312,2.1
CUST-00007,81,1,195.37,195.37,0.0,2025-10-11,2025-10-11,0,1,0,4,1,2,412,2.5
CUST-00008,360,1,357.34,357.34,1.0,2025-01-05,2025-01-05,1,0,0,1,1,3,113,1.6
CUST-00009,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00010,41,4,1201.73,300.43,0.5,2025-01-06,2025-11-20,1,2,0,4,5,5,455,4.6
CUST-00011,83,2,316.22,158.11,1.0,2025-06-20,2025-10-09,0,1,1,4,3,3,433,3.4
CUST-00012,41,3,875.06,291.69,0.3333,2025-09-20,2025-11-20,1,2,0,4,4,5,445,4.3
CUST-00013,305,1,241.33,241.33,0.0,2025-03-01,2025-03-01,0,1,0,2,1,2,212,1.7
CUST-00014,210,3,805.87,268.62,0.0,2025-04-10,2025-06-04,1,2,0,2,4,5,245,3.5
CUST-00015,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00016,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00017,84,1,131.85,131.85,1.0,2025-10-08,2025-10-08,0,1,0,4,1,2,412,2.5
CUST-00018,135,1,421.88,421.88,0.0,2025-08-18,2025-08-18,0,0,0,3,1,3,313,2.4
CUST-00019,173,2,467.63,233.82,0.5,2025-02-24,2025-07-11,0,2,1,3,3,3,333,3.0
CUST-00020,205,1,215.04,215.04,0.0,2025-06-09,2025-06-09,1,0,0,2,1,2,212,1.7
CUST-00021,40,2,561.82,280.91,0.5,2025-10-26,2025-11-21,1,1,0,4,3,4,434,3.7
CUST-00022,52,3,648.08,216.03,0.3333,2025-03-23,2025-11-09,0,3,0,4,4,4,444,4.0
CUST-00023,232,1,251.53,251.53,0.0,2025-05-13,2025-05-13,0,1,0,2,1,2,212,1.7
CUST-00024,58,3,639.37,213.12,0.6667,2025-05-07,2025-11-03,2,1,0,4,4,4,444,4.0
CUST-00025,129,3,768.76,256.25,0.3333,2025-02-22,2025-08-24,1,0,0,3,4,4,344,3.6
CUST-00026,41,5,1086.09,217.22,0.4,2025-02-11,2025-11-20,2,3,0,4,5,5,455,4.6
CUST-00027,158,1,157.48,157.48,0.0,2025-07-26,2025-07-26,1,0,0,3,1,2,312,2.1
CUST-00028,286,2,623.49,311.75,1.0,2025-03-04,2025-03-20,0,0,0,2,3,4,234,2.9
CUST-00029,181,1,410.24,410.24,0.0,2025-07-03,2025-07-03,0,1,0,2,1,3,213,2.0
CUST-00030,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00031,246,1,349.03,349.03,1.0,2025-04-29,2025-04-29,1,0,0,2,1,3,213,2.0
CUST-00032,17,5,1581.01,316.2,0.4,2025-02-21,2025-12-14,2,3,0,5,5,5,555,5.0
CUST-00033,130,5,1121.83,224.37,0.2,2025-03-11,2025-08-23,2,2,0,3,5,5,355,4.2
CUST-00034,87,2,725.0,362.5,0.5,2025-02-14,2025-10-05,1,1,0,4,3,4,434,3.7
CUST-00035,149,3,691.41,230.47,0.0,2025-05-02,2025-08-04,1,1,0,3,4,4,344,3.6
CUST-00036,44,3,1007.23,335.74,0.6667,2025-08-29,2025-11-17,0,2,0,4,4,5,445,4.3
CUST-00037,95,4,1648.62,412.16,0.5,2025-01-05,2025-09-27,1,1,0,4,5,5,455,4.6
CUST-00038,31,2,388.76,194.38,1.0,2025-07-06,2025-11-30,0,2,0,5,3,3,533,3.8
CUST-00039,12,3,1421.28,473.76,0.0,2025-08-02,2025-12-19,1,2,0,5,4,5,545,4.7
