order_date,category_name,actual_demand,predicted_demand,forecast_error,granularity
2025-12-02,Appetizers & Small Plates,364.0,429.56,-65.56,Menu Categories
2025-12-02,Artisanal Burgers & Handhelds,341.0,404.31,-63.31,Menu Categories
2025-12-02,Chef Specials & Seafood,223.0,209.84,13.16,Menu Categories
2025-12-02,Farm-Fresh Salads & Grain Bowls,362.0,413.06,-51.06,Menu Categories
2025-12-02,Handcrafted Desserts & Pastries,372.0,420.64,-48.64,Menu Categories
2025-12-02,Prime Steaks & Butcher Cuts,237.0,207.15,29.85,Menu Categories
2025-12-02,Signature Cocktails & Mocktails,391.0,514.22,-123.22,Menu Categories
2025-12-02,Specialty Coffee & Beverages,445.0,523.98,-78.98,Menu Categories
2025-12-02,Vegan & Plant-Based Creations,312.0,344.7,-32.7,Menu Categories
2025-12-02,Wood-Fired Pizzas & Pastas,423.0,432.06,-9.06,Menu Categories
2025-12-03,Appetizers & Small Plates,411.0,356.18,54.82,Menu Categories
2025-12-03,Artisanal Burgers & Handhelds,417.0,354.21,62.79,Menu Categories
2025-12-03,Chef Specials & Seafood,245.0,197.51,47.49,Menu Categories
2025-12-03,Farm-Fresh Salads & Grain Bowls,376.0,352.91,23.09,Menu Categories
2025-12-03,Handcrafted Desserts & Pastries,374.0,377.38,-3.38,Menu Categories
2025-12-03,Prime Steaks & Butcher Cuts,209.0,205.49,3.51,Menu Categories
2025-12-03,Signature Cocktails & Mocktails,431.0,405.35,25.65,Menu Categories
2025-12-03,Specialty Coffee & Beverages,477.0,450.99,26.01,Menu Categories
2025-12-03,Vegan & Plant-Based Creations,335.0,341.67,-6.67,Menu Categories
2025-12-03,Wood-Fired Pizzas & Pastas,397.0,370.45,26.55,Menu Categories
2025-12-04,Appetizers & Small Plates,418.0,533.96,-115.96,Menu Categories
2025-12-04,Artisanal Burgers & Handhelds,424.0,472.27,-48.27,Menu Categories
2025-12-04,Chef Specials & Seafood,223.0,265.25,-42.25,Menu Categories
2025-12-04,Farm-Fresh Salads & Grain Bowls,401.0,475.98,-74.98,Menu Categories
2025-12-04,Handcrafted Desserts & Pastries,425.0,478.06,-53.06,Menu Categories
2025-12-04,Prime Steaks & Butcher Cuts,214.0,273.88,-59.88,Menu Categories
2025-12-04,Signature Cocktails & Mocktails,410.0,557.22,-147.22,Menu Categories
2025-12-04,Specialty Coffee & Beverages,479.0,712.91,-233.91,Menu Categories
2025-12-04,Vegan & Plant-Based Creations,351.0,410.24,-59.24,Menu Categories
2025-12-04,Wood-Fired Pizzas & Pastas,435.0,562.08,-127.08,Menu Categories
2025-12-05,Appetizers & Small Plates,608.0,665.4,-57.4,Menu Categories
2025-12-05,Artisanal Burgers & Handhelds,621.0,681.31,-60.31,Menu Categories
2025-12-05,Chef Specials & Seafood,345.0,365.74,-20.74,Menu Categories
2025-12-05,Farm-Fresh Salads & Grain Bowls,598.0,671.22,-73.22,Menu Categories
2025-12-05,Handcrafted Desserts & Pastries,571.0,661.66,-90.66,Menu Categories
2025-12-05,Prime Steaks & Butcher Cuts,370.0,373.64,-3.64,Menu Categories
2025-12-05,Signature Cocktails & Mocktails,709.0,744.96,-35.96,Menu Categories
2025-12-05,Specialty Coffee & Beverages,755.0,805.81,-50.81,Menu Categories
2025-12-05,Vegan & Plant-Based Creations,518.0,617.53,-99.53,Menu Categories
2025-12-05,Wood-Fired Pizzas & Pastas,657.0,707.9,-50.9,Menu Categories
2025-12-06,Appetizers & Small Plates,559.0,641.85,-82.85,Menu Categories
2025-12-06,Artisanal Burgers & Handhelds,619.0,645.97,-26.97,Menu Categories
2025-12-06,Chef Specials & Seafood,346.0,361.9,-15.9,Menu Categories
2025-12-06,Farm-Fresh Salads & Grain Bowls,609.0,636.01,-27.01,Menu Categories
2025-12-06,Handcrafted Desserts & Pastries,525.0,635.92,-110.92,Menu Categories
2025-12-06,Prime Steaks & Butcher Cuts,335.0,392.35,-57.35,Menu Categories
2025-12-06,Signature Cocktails & Mocktails,699.0,724.27,-25.27,Menu Categories
2025-12-06,Specialty Coffee & Beverages,756.0,776.17,-20.17,Menu Categories
