order_date,item_name,actual_demand,predicted_demand,forecast_error,granularity
2025-12-02,A5 Miyazaki Japanese Wagyu (4oz),1.0,2.77,-1.77,Menu Items
2025-12-02,Acai Berry Superfood Smoothie,14.0,22.74,-8.74,Menu Items
2025-12-02,Affogato al Caffe Espresso Scoop,32.0,33.22,-1.22,Menu Items
2025-12-02,Aperol Spritz Prosecco Orange,34.0,39.39,-5.39,Menu Items
2025-12-02,Artisanal Kombucha Peach Ginger,27.0,20.64,6.36,Menu Items
2025-12-02,Artisanal Macaron Assortment (6pcs),10.0,21.96,-11.96,Menu Items
2025-12-02,Artisanal Vegan Charcuterie Board,16.0,6.41,9.59,Menu Items
2025-12-02,Avocado Supergreen Toast Sourdough,9.0,31.07,-22.07,Menu Items
2025-12-02,BBQ Glazed St. Louis Ribs (Full),24.0,22.81,1.19,Menu Items
2025-12-02,BBQ Pulled Pork Brioche,27.0,31.97,-4.97,Menu Items
2025-12-02,Bacon Wrapped Stuffed Dates,25.0,21.41,3.59,Menu Items
2025-12-02,Belgian Hot Chocolate Marshmallows,22.0,24.49,-2.49,Menu Items
2025-12-02,Beyond Meat Gourmet Burger,56.0,34.96,21.04,Menu Items
2025-12-02,Bistro Hanger Steak Shallot Jus,29.0,19.04,9.96,Menu Items
2025-12-02,Black Angus Bacon Cheddar,50.0,38.71,11.29,Menu Items
2025-12-02,Black Truffle Infused Manhattan,4.0,4.57,-0.57,Menu Items
2025-12-02,Black Truffle Tagliolini Caviar,7.0,4.73,2.27,Menu Items
2025-12-02,Blackened Salmon Cobb Salad,21.0,24.18,-3.18,Menu Items
2025-12-02,Burrata Caprese Heirloom Salad,15.0,18.7,-3.7,Menu Items
2025-12-02,Burrata Caprese Pizza,30.0,22.26,7.74,Menu Items
2025-12-02,Butter Poached Maine Lobster Tail,8.0,6.91,1.09,Menu Items
2025-12-02,Calabrian Sausage Rigatoni,24.0,29.41,-5.41,Menu Items
2025-12-02,California Turkey Avocado Club,9.0,21.84,-12.84,Menu Items
2025-12-02,Caramel Macchiato Sea Salt,43.0,48.88,-5.88,Menu Items
2025-12-02,Ceremonial Iced Matcha Latte,33.0,33.49,-0.49,Menu Items
2025-12-02,Chipotle Fish Tacos (3pcs),15.0,20.07,-5.07,Menu Items
2025-12-02,Classic BLT Sourdough,33.0,32.44,0.56,Menu Items
2025-12-02,Classic Buffalo Chicken Wings,51.0,51.64,-0.64,Menu Items
2025-12-02,Classic Fish & Chips Tartar,45.0,40.87,4.13,Menu Items
