hour,dine_in_revenue,delivery_revenue,takeout_revenue,drive_thru_revenue,dine_in_orders,delivery_orders,total_hour_revenue,delivery_revenue_share_pct
0,18600.74,9415.35,7564.8,2417.92,81,43,37998.810000000005,24.78
1,10431.78,3206.54,3997.46,1494.97,45,14,19130.75,16.76
6,48087.86,19654.07,25744.29,7517.14,205,79,101003.36,19.46
7,127937.9,56636.54,68777.39,32362.02,533,241,285713.85000000003,19.82
8,304602.69,135485.69,162448.26,63299.73,1317,588,665836.37,20.35
9,388740.1,170504.13,226175.84,90693.3,1689,734,876113.37,19.46
10,515429.24,236043.12,279784.52,107970.51,2224,992,1139227.39,20.72
11,1040263.11,478100.23,574102.06,239911.65,4478,2046,2332377.05,20.5
12,1367015.35,604235.72,767626.28,325904.48,5918,2579,3064781.83,19.72
13,960863.57,417894.81,514883.15,213593.51,4157,1844,2107235.04,19.83
14,347427.74,151425.3,181541.05,78410.11,1518,674,758804.2,19.96
15,250044.83,112839.03,156144.05,56878.13,1081,483,575906.0399999999,19.59
16,383945.84,181136.48,207092.05,92208.37,1655,785,864382.7400000001,20.96
17,688956.03,314131.74,396184.87,148703.9,2959,1356,1547976.54,20.29
18,1198969.79,505274.13,657799.61,264995.92,5154,2189,2627039.4499999997,19.23
19,858037.27,401613.15,508471.75,188093.5,3704,1726,1956215.67,20.53
20,470926.76,213810.6,263239.82,105598.66,2025,909,1053575.8399999999,20.29
21,268379.39,115111.66,143488.62,63153.22,1160,503,590132.89,19.51
22,128144.61,55090.08,65554.3,29988.14,549,243,278777.13,19.76
23,46267.16,19532.85,26001.92,8168.53,207,82,99970.46,19.54
