hour,total_revenue,total_items,order_count,revenue_share_pct,avg_order_value
12,3064781.83,192013,13227,14.61,231.71
18,2627039.45,164258,11297,12.52,232.54
11,2332377.05,145383,10015,11.12,232.89
13,2107235.04,131991,9132,10.04,230.75
19,1956215.67,122156,8424,9.32,232.22
17,1547976.54,96534,6670,7.38,232.08
10,1139227.39,70972,4893,5.43,232.83
20,1053575.84,65565,4545,5.02,231.81
9,876113.37,54700,3794,4.18,230.92
16,864382.74,54194,3721,4.12,232.3
14,758804.2,47670,3314,3.62,228.97
8,665836.37,41555,2883,3.17,230.95
21,590132.89,36894,2553,2.81,231.15
15,575906.04,36002,2478,2.74,232.41
7,285713.85,17513,1193,1.36,239.49
22,278777.13,17404,1214,1.33,229.64
6,101003.36,6298,425,0.48,237.65
23,99970.46,6197,435,0.48,229.82
0,37998.81,2414,166,0.18,228.91
1,19130.75,1195,85,0.09,225.07
