location_id,restaurant_name,restaurant_city,total_revenue,total_orders,weekend_revenue,peak_hour,peak_hour_revenue,peak_day,peak_day_revenue,weekend_share_pct
LOC-001,DineIQ Flagship Downtown,New York,1516317.88,6493,817140.1400000001,12,218402.21,Saturday,284443.23,53.89
LOC-012,DineIQ Los Angeles Beverly,Los Angeles,1445699.03,6217,775408.06,12,209387.42,Sunday,270594.93,53.64
LOC-010,DineIQ San Francisco Embarcadero,San Francisco,1388987.55,5983,745241.28,12,192483.12,Friday,261698.45,53.65
LOC-017,DineIQ Orlando Theme Park Outpost,Orlando,1307819.09,5641,723049.1000000001,12,201262.5,Sunday,245499.21,55.29
LOC-004,DineIQ Chicago Magnificent Mile,Chicago,1275349.41,5503,670489.69,12,172168.1,Saturday,236172.46,52.57
LOC-016,DineIQ Miami South Beach,Miami,1233253.32,5325,647726.05,12,179256.48,Friday,218042.94,52.52
LOC-013,DineIQ Santa Monica Promenade,Santa Monica,1225612.17,5260,665715.0800000001,12,172925.65,Sunday,238585.6,54.32
LOC-002,DineIQ Financial Center,New York,1155078.47,4970,612978.27,12,155667.8,Sunday,208717.33,53.07
LOC-008,DineIQ Houston Galleria,Houston,1004808.12,4301,534847.93,12,148320.48,Sunday,192461.8,53.23
LOC-006,DineIQ Austin Downtown,Austin,988621.93,4258,521930.45,12,143765.44,Sunday,177527.75,52.79
LOC-011,DineIQ Silicon Valley Hub,San Jose,981561.81,4272,520353.10000000003,12,144133.95,Friday,180281.85,53.01
LOC-005,DineIQ West Loop Bistro,Chicago,961154.13,4169,505665.01,12,146373.68,Saturday,172982.56,52.61
LOC-014,DineIQ Seattle Pike Place,Seattle,955880.43,4117,502241.14,12,143581.25,Saturday,170022.56,52.54
LOC-009,DineIQ Dallas Arts District,Dallas,924577.09,3996,491649.13,12,146662.54,Saturday,175765.13,53.18
LOC-020,DineIQ Boston Back Bay,Boston,868838.9,3750,458717.93000000005,12,129547.41,Sunday,157741.84,52.8
LOC-015,DineIQ Bellevue Tech Plaza,Bellevue,855364.54,3694,451342.57,12,125814.94,Friday,159052.45,52.77
LOC-019,DineIQ Atlanta Midtown,Atlanta,841928.77,3684,444640.84,12,127316.39,Sunday,156710.31,52.81
LOC-003,DineIQ Brooklyn Heights,Brooklyn,819128.9,3519,431034.77,12,124730.39,Saturday,150653.02,52.62
LOC-018,DineIQ Denver LoDo,Denver,816026.86,3521,429979.47,12,120713.71,Saturday,147014.4,52.69
LOC-007,DineIQ Austin Domain Drive-Thru,Austin,416190.38,1791,228297.49000000002,12,62268.37,Sunday,78934.72,54.85
