month,month_name,total_revenue,total_items,order_count,days_in_month,avg_daily_revenue,avg_order_value,mom_growth_pct
1,January,1305771.46,81900,5629,31,42121.66,231.97,0.0
2,February,1211609.01,75260,5177,28,43271.75,234.04,-7.21
3,March,1649597.66,103481,7095,31,53212.83,232.5,36.15
4,April,1566040.92,97682,6733,30,52201.36,232.59,-5.07
5,May,1687447.2,105150,7211,31,54433.78,234.01,7.75
6,June,1919435.57,119809,8312,30,63981.19,230.92,13.75
7,July,1967106.97,122961,8530,31,63455.06,230.61,2.48
8,August,2069997.14,129414,8964,31,66774.1,230.92,5.23
9,September,1557698.69,97554,6744,30,51923.29,230.98,-24.75
10,October,1618914.13,101183,7010,31,52223.04,230.94,3.93
11,November,2251575.99,140468,9637,30,75052.53,233.64,39.08
12,December,2177004.04,136046,9422,31,70225.94,231.06,-3.31
