order_id,customer_id,customer_segment,loyalty_tier,loyalty_points,churn_risk_score,order_date,total_amount,order_status
ORD-000001,CUST-27001,NEW,BRONZE,247.0,0.147,2025-06-08,309.77,COMPLETED
ORD-000002,CUST-01760,REGULAR,BRONZE,203.0,0.213,2025-12-17,503.4,COMPLETED
ORD-000003,CUST-49033,OCCASIONAL,GOLD,1728.0,0.334,2025-10-09,283.38,COMPLETED
ORD-000004,CUST-31299,NEW,BRONZE,169.0,0.287,2025-08-19,129.09,COMPLETED
ORD-000005,CUST-02149,REGULAR,BRONZE,630.0,0.611,2025-03-15,148.91,COMPLETED
ORD-000006,CUST-GUEST,,,,,2025-03-15,285.76,COMPLETED
ORD-000007,CUST-17818,REGULAR,BRONZE,881.0,0.302,2025-01-29,124.86,COMPLETED
ORD-000008,CUST-GUEST,,,,,2025-11-22,263.56,PENDING
ORD-000009,CUST-03928,HIGH_VALUE,PLATINUM,10544.0,0.042,2025-08-20,418.34,COMPLETED
ORD-000010,CUST-21062,REGULAR,BRONZE,1830.0,0.398,2025-09-29,268.03,COMPLETED
ORD-000011,CUST-GUEST,,,,,2025-01-11,251.65,COMPLETED
ORD-000012,CUST-30226,OCCASIONAL,BRONZE,1008.0,0.326,2025-12-22,300.97,COMPLETED
ORD-000013,CUST-22435,HIGH_VALUE,GOLD,7527.0,0.138,2025-11-13,94.54,COMPLETED
ORD-000014,CUST-28234,OCCASIONAL,BRONZE,746.0,0.462,2025-04-06,301.48,COMPLETED
ORD-000015,CUST-05031,REGULAR,SILVER,208.0,0.481,2025-03-25,79.97,PENDING
ORD-000016,CUST-26842,REGULAR,BRONZE,1444.0,0.306,2025-03-26,335.02,COMPLETED
ORD-000017,CUST-44360,REGULAR,GOLD,477.0,0.491,2025-05-13,155.05,PENDING
ORD-000018,CUST-00458,HIGH_VALUE,PLATINUM,13208.0,0.129,2025-07-26,398.0,COMPLETED
ORD-000019,CUST-25664,OCCASIONAL,BRONZE,1855.0,0.221,2025-06-27,385.4,COMPLETED
ORD-000021,CUST-23852,OCCASIONAL,SILVER,1650.0,0.515,2025-08-24,187.9,COMPLETED
ORD-000022,CUST-45748,NEW,BRONZE,110.0,0.295,2025-03-08,170.47,COMPLETED
ORD-000023,CUST-27926,REGULAR,GOLD,1743.0,0.236,2025-05-09,188.58,COMPLETED
ORD-000024,CUST-GUEST,,,,,2025-06-06,152.6,COMPLETED
ORD-000026,CUST-29353,OCCASIONAL,BRONZE,615.0,0.48,2025-10-30,358.84,COMPLETED
ORD-000027,CUST-07100,OCCASIONAL,BRONZE,2037.0,0.557,2025-04-01,192.88,COMPLETED
ORD-000028,CUST-07717,NEW,BRONZE,123.0,0.134,2025-07-23,251.72,COMPLETED
ORD-000029,CUST-38375,CHURNED,SILVER,548.0,0.894,2025-08-17,156.1,COMPLETED
ORD-000030,CUST-44859,OCCASIONAL,BRONZE,729.0,0.201,2025-01-24,249.49,COMPLETED
ORD-000031,CUST-26808,CHURNED,BRONZE,218.0,0.876,2025-08-22,198.62,COMPLETED
ORD-000032,CUST-49524,NEW,BRONZE,6.0,0.202,2025-03-21,218.41,COMPLETED
ORD-000033,CUST-34464,HIGH_VALUE,GOLD,14153.0,0.127,2025-02-01,215.69,COMPLETED
ORD-000034,CUST-30751,REGULAR,BRONZE,1547.0,0.629,2025-12-16,124.1,COMPLETED
ORD-000036,CUST-12710,REGULAR,GOLD,2315.0,0.649,2025-11-06,394.34,COMPLETED
ORD-000037,CUST-GUEST,,,,,2025-05-13,241.53,COMPLETED
ORD-000038,CUST-33833,OCCASIONAL,BRONZE,2161.0,0.577,2025-02-17,162.34,COMPLETED
ORD-000039,CUST-24259,NEW,BRONZE,132.0,0.201,2025-09-20,88.66,COMPLETED
ORD-000040,CUST-35203,REGULAR,SILVER,1666.0,0.324,2025-06-29,303.2,COMPLETED
ORD-000042,CUST-10191,REGULAR,BRONZE,148.0,0.278,2025-07-17,207.76,COMPLETED
ORD-000043,CUST-40344,OCCASIONAL,BRONZE,192.0,0.499,2025-01-18,263.57,COMPLETED
ORD-000044,CUST-07806,REGULAR,SILVER,1381.0,0.224,2025-12-05,408.97,COMPLETED
ORD-000045,CUST-28027,NEW,BRONZE,222.0,0.168,2025-04-25,367.97,COMPLETED
ORD-000046,CUST-41178,HIGH_VALUE,PLATINUM,5482.0,0.094,2025-09-11,222.22,COMPLETED
ORD-000047,CUST-13965,OCCASIONAL,SILVER,1088.0,0.336,2025-05-16,180.53,COMPLETED
ORD-000048,CUST-14698,HIGH_VALUE,PLATINUM,3255.0,0.108,2025-07-25,185.56,COMPLETED
ORD-000049,CUST-29276,CHURNED,BRONZE,574.0,0.906,2025-08-03,338.21,COMPLETED
ORD-000050,CUST-34692,CHURNED,SILVER,443.0,0.969,2025-03-27,356.24,COMPLETED
ORD-000051,CUST-03357,CHURNED,SILVER,176.0,0.829,2025-12-22,380.85,COMPLETED
ORD-000052,CUST-37091,HIGH_VALUE,PLATINUM,6408.0,0.12,2025-10-26,282.45,COMPLETED
ORD-000053,CUST-28672,HIGH_VALUE,PLATINUM,14015.0,0.05,2025-12-14,279.24,COMPLETED
ORD-000054,CUST-GUEST,,,,,2025-12-01,203.21,COMPLETED
ORD-000055,CUST-GUEST,,,,,2025-08-19,173.94,COMPLETED
ORD-000056,CUST-46193,REGULAR,SILVER,669.0,0.395,2025-12-08,217.56,COMPLETED
ORD-000057,CUST-44560,REGULAR,SILVER,432.0,0.39,2025-02-13,93.37,COMPLETED
ORD-000058,CUST-19970,OCCASIONAL,GOLD,273.0,0.456,2025-03-30,356.1,COMPLETED
ORD-000059,CUST-20203,REGULAR,BRONZE,1983.0,0.255,2025-01-23,327.42,COMPLETED
ORD-000060,CUST-26826,OCCASIONAL,BRONZE,517.0,0.573,2025-05-22,154.03,COMPLETED
ORD-000061,CUST-17230,REGULAR,GOLD,779.0,0.242,2025-06-13,224.0,COMPLETED
ORD-000062,CUST-31412,OCCASIONAL,BRONZE,1515.0,0.343,2025-04-30,220.84,COMPLETED
