location_id,restaurant_name,restaurant_city,restaurant_state,location_tier,total_revenue,total_orders,total_discounts,unique_customer_count,revenue_share_pct,average_order_value,gross_item_sales,total_food_cost,gross_profit,contribution_margin_pct,repeat_purchase_rate,quantity_wasted,total_wastage_loss_amount,wastage_rate_pct,rating_count,avg_overall_rating,avg_food_rating,avg_service_rating,avg_ambiance_rating,csat_pct,star_1_count,star_5_count,net_satisfaction_score,promoted_order_count,promoted_revenue,promoted_discounts,promoted_order_share_pct,promoted_revenue_share_pct,revenue_rank,profit_rank,satisfaction_rank,wastage_efficiency_rank,menu_hidden_opportunities,menu_low_performers,menu_profit_drivers,menu_volume_drivers
LOC-001,DineIQ Flagship Downtown,New York,NY,Flagship,1762756.68,6494,38144.63,5848,7.236535335157517,271.44389898367723,1516317.88,667292.05,849025.83,55.99260163047079,6.309849521203831,16054,165596.15,14.52706065459547,7201,3.618386335231218,3.5536731009582003,3.5470073600888767,3.6850437439244548,63.963338425218716,1103,2583,20.55270101374809,2172,564099.25,37892.68,33.44625808438559,32.00097077493418,1,1,8,1,43,33,40,34
LOC-012,DineIQ Los Angeles Beverly,Los Angeles,CA,Flagship,1680631.52,6218,36573.01,5677,6.899392024916047,270.28490189771634,1445699.03,635166.25,810532.78,56.0651119756233,5.319711115025542,16007,165491.35,15.077899813492587,7042,3.603521726782164,3.551831865947174,3.5245668844078386,3.6641579096847487,63.888099971598976,1115,2481,19.39789832433968,2076,533990.68,36399.58,33.38694113862978,31.773215820681504,2,2,14,2,42,36,40,32
LOC-010,DineIQ San Francisco Embarcadero,San Francisco,CA,Flagship,1611512.05,5983,34738.56,5424,6.615640164731714,269.3484957379241,1388987.55,612486.25,776501.3,55.90412239476157,5.530973451327434,15984,167616.2,15.51950132533279,6564,3.6486898232784886,3.5993296770262035,3.5607861060329067,3.6950030469226083,65.14320536258379,966,2403,21.892138939670932,1982,514119.4,34553.35,33.127193715527326,31.90291999367923,3,3,1,4,39,39,39,33
LOC-017,DineIQ Orlando Theme Park Outpost,Orlando,FL,Family Destination,1519490.89,5643,33595.42,5153,6.237871421332492,269.27004961899695,1307819.09,574648.85,733170.24,56.06052439561805,5.356103240830584,14827,157613.8,15.411400299351405,6306,3.6232159847764036,3.5666032350142722,3.52965429749445,3.682524579765303,63.97082143989851,965,2262,20.567713288931177,1866,474620.93,32889.5,33.067517278043596,31.235523235022487,4,4,6,3,39,40,38,33
LOC-004,DineIQ Chicago Magnificent Mile,Chicago,IL,Flagship,1478854.78,5504,32798.66,5018,6.071050526971536,268.68727834302325,1275349.41,561026.75,714322.66,56.00995730260306,5.061777600637704,15492,159643.45,16.256374740288358,6147,3.624532292175045,3.5762160403448835,3.551000488042948,3.689930047177485,64.71449487554905,957,2183,19.944688465918333,1882,481526.58,32798.66,34.19331395348838,32.560775169553835,5,5,5,5,45,35,34,36
LOC-016,DineIQ Miami South Beach,Miami,FL,Coastal Boardwalk,1429718.61,5325,31604.49,4847,5.869334865091699,268.49175774647887,1233253.32,542686.65,690566.67,55.99552490967549,4.992779038580565,15785,163460.95,17.010431484115696,5938,3.6222633883462447,3.563657797238127,3.5424385314920848,3.6822162344223646,64.71876052542945,957,2138,19.88885146513978,1780,455955.54,31372.58,33.42723004694836,31.89127824250675,6,6,7,7,43,36,37,34
LOC-013,DineIQ Santa Monica Promenade,Santa Monica,CA,Coastal Boardwalk,1420104.1,5260,32161.18,4838,5.82986501531911,269.98176806083654,1225612.17,540785.55,684826.62,55.87629078454729,4.733360892930963,15456,158611.3,16.8545942291335,5803,3.617094606238153,3.570911597449595,3.527658107875237,3.687058418059624,64.72514216784421,898,2051,19.869033258659314,1834,470879.26,32161.18,34.86692015209126,33.15808045339775,7,7,9,6,42,40,34,34
LOC-002,DineIQ Financial Center,New York,NY,Urban Corporate,1340653.62,4970,29977.47,4556,5.50370190248653,269.7492193158954,1155078.47,507193.4,647885.07,56.09013472478627,5.004389815627744,15370,163071.25,17.604948170207894,5526,3.6163590300398116,3.554650741947159,3.5305826999638072,3.6865725660513933,64.02461093014838,872,2007,20.539268910604417,1699,438464.13,29540.81,34.185110663983906,32.70525089097958,8,8,10,8,42,34,40,34
LOC-008,DineIQ Houston Galleria,Houston,TX,Suburban Mall,1169565.16,4303,25404.22,3935,4.801343091270631,271.8022681849872,1004808.12,442180.55,562627.57,55.99353337232187,4.243964421855146,15631,163835.8,20.011778412218824,4707,3.610792436796261,3.5547057573826217,3.544720628850648,3.67176545570427,63.9473125132781,730,1672,20.01274697259401,1453,374326.44,25245.51,33.76713920520567,32.005607964587455,9,9,11,11,43,39,34,34
LOC-006,DineIQ Austin Downtown,Austin,TX,Urban Dining,1148439.51,4259,24195.39,3940,4.714617274578126,269.6500375675041,988621.93,436910.25,551711.68,55.80613410022172,3.857868020304569,15331,162681.55,19.865756158241872,4592,3.6326219512195124,3.581445993031359,3.534843205574913,3.6898954703832754,64.65592334494772,707,1672,21.01480836236934,1385,363116.58,23841.65,32.51937074430617,31.618259110573444,10,10,4,9,39,42,35,34
