item_id,change_date,change_reason,baseline_price,new_price,pct_price_change,pre_change_daily_demand,post_change_daily_demand,pct_demand_change,empirical_elasticity,t_statistic,p_value,is_statistically_significant
ITEM-001,2025-07-01,SUPPLY_COST_SURGE_UNABSORBED,8.99,9.26,3.0,49.55,57.33,15.7,5.227,2.563,0.0116,True
ITEM-002,2025-07-01,SUPPLY_COST_SURGE_UNABSORBED,14.5,14.94,3.03,47.33,51.59,8.99,2.964,1.547,0.1248,False
ITEM-003,2025-07-01,SUPPLY_COST_SURGE_UNABSORBED,9.5,9.79,3.05,40.3,44.79,11.13,3.647,1.829,0.0699,False
ITEM-004,2025-07-01,SUPPLY_COST_SURGE_UNABSORBED,6.99,7.2,3.0,45.32,47.74,5.34,1.778,0.979,0.3297,False
ITEM-005,2025-07-01,SPOILAGE_RISK_SURCHARGE,21.0,22.05,5.0,10.43,12.24,17.32,3.463,1.714,0.0893,False
ITEM-006,2025-07-01,SPOILAGE_RISK_SURCHARGE,19.5,20.48,5.03,9.12,9.56,4.83,0.962,0.507,0.6128,False
ITEM-007,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,15.99,16.79,5.0,28.22,32.34,14.63,2.924,2.118,0.0363,True
ITEM-008,2025-07-01,PREMIUM_TIER_OPTIMIZATION,65.0,69.55,7.0,3.0,3.35,11.76,1.681,0.821,0.4139,False
ITEM-009,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,17.5,18.38,5.03,27.85,28.95,3.95,0.786,0.601,0.5491,False
ITEM-010,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,16.0,16.8,5.0,15.7,19.72,25.61,5.123,2.762,0.0067,True
ITEM-011,2025-07-01,SPOILAGE_RISK_SURCHARGE,18.0,18.9,5.0,23.52,24.43,3.87,0.774,0.569,0.5705,False
ITEM-012,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,11.5,12.08,5.04,31.12,34.28,10.16,2.015,1.608,0.1106,False
ITEM-013,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,12.99,13.64,5.0,35.4,38.43,8.55,1.708,1.377,0.1711,False
ITEM-014,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,11.0,11.55,5.0,15.77,16.87,6.99,1.398,0.867,0.3879,False
ITEM-015,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,13.5,14.18,5.04,19.03,22.46,18.0,3.573,2.375,0.0192,True
ITEM-016,2025-07-01,SUPPLY_COST_SURGE_UNABSORBED,13.99,14.41,3.0,55.78,64.11,14.94,4.975,2.578,0.0112,True
ITEM-017,2025-07-01,SUPPLY_COST_SURGE_UNABSORBED,14.5,14.94,3.03,49.58,53.46,7.82,2.576,1.473,0.1434,False
ITEM-018,2025-07-01,PREMIUM_TIER_OPTIMIZATION,28.0,29.96,7.0,11.62,13.77,18.54,2.649,2.127,0.0355,True
ITEM-019,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,15.0,15.75,5.0,30.85,33.59,8.88,1.776,1.418,0.1588,False
ITEM-020,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,15.5,16.28,5.03,37.23,40.52,8.84,1.757,1.404,0.1631,False
ITEM-021,2025-07-01,SPOILAGE_RISK_SURCHARGE,16.0,16.8,5.0,24.53,25.52,4.04,0.808,0.57,0.5698,False
