order_item_id,order_id,item_id,quantity,unit_price,subtotal,item_discount,item_total,_quarantine_timestamp,_quarantine_rule_id,_quarantine_rule_name,_quarantine_reason
LINE-0000167,ORD-000020,ITEM-143,1,4.25,4.25,0.0,4.25,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000168,ORD-000020,ITEM-121,1,6.5,6.5,0.0,6.5,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000169,ORD-000020,ITEM-076,1,12.99,12.99,0.0,12.99,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000170,ORD-000020,ITEM-025,1,18.0,18.0,0.0,18.0,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000171,ORD-000020,ITEM-042,1,19.0,19.0,0.0,19.0,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000172,ORD-000020,ITEM-134,1,8.5,8.5,0.0,8.5,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000173,ORD-000020,ITEM-098,1,13.5,13.5,0.0,13.5,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000174,ORD-000020,ITEM-141,2,6.5,13.0,0.0,13.0,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000209,ORD-000025,ITEM-003,1,9.5,9.5,0.0,9.5,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000210,ORD-000025,ITEM-001,1,8.99,8.99,0.0,8.99,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000211,ORD-000025,ITEM-071,1,22.0,22.0,0.0,22.0,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000212,ORD-000025,ITEM-042,4,19.0,76.0,0.0,76.0,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000213,ORD-000025,ITEM-032,1,18.5,18.5,0.0,18.5,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000214,ORD-000025,ITEM-126,2,15.0,30.0,0.0,30.0,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000215,ORD-000025,ITEM-146,1,7.99,7.99,0.0,7.99,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000216,ORD-000025,ITEM-141,1,6.5,6.5,0.0,6.5,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000217,ORD-000025,ITEM-022,1,17.5,17.5,0.0,17.5,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000218,ORD-000025,ITEM-111,2,10.5,21.0,0.0,21.0,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000219,ORD-000025,ITEM-120,3,6.99,20.97,0.0,20.97,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
LINE-0000296,ORD-000035,ITEM-139,1,5.75,5.75,0.0,5.75,2026-09-26T11:22:07.635773,CASCADED-QUARANTINE,cascaded quarantined orders,Parent order was cancelled or quarantined
