order_item_id,order_id,item_id,quantity,unit_price,subtotal,item_discount,item_total,_quarantine_timestamp,_quarantine_rule_id,_quarantine_rule_name,_quarantine_reason
LINE-0000601,ORD-000066,,1,16.0,16.0,0.0,16.0,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000602,ORD-000066,,2,48.0,96.0,0.0,96.0,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000603,ORD-000066,,1,8.5,8.5,0.0,8.5,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000604,ORD-000066,,1,8.5,8.5,0.0,8.5,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000605,ORD-000066,,1,19.99,19.99,0.0,19.99,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000606,ORD-000066,,1,9.99,9.99,0.0,9.99,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000607,ORD-000066,,1,12.99,12.99,0.0,12.99,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000608,ORD-000066,,1,20.0,20.0,0.0,20.0,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000609,ORD-000067,,4,4.25,17.0,0.0,17.0,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000610,ORD-000067,,2,15.0,30.0,0.0,30.0,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000611,ORD-000067,,1,11.5,11.5,0.0,11.5,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000612,ORD-000067,,1,16.0,16.0,0.0,16.0,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000613,ORD-000067,,1,5.75,5.75,0.0,5.75,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000614,ORD-000067,,1,21.0,21.0,0.0,21.0,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000615,ORD-000067,,3,14.0,42.0,0.0,42.0,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000616,ORD-000067,,1,16.0,16.0,0.0,16.0,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000617,ORD-000067,,2,9.0,18.0,0.0,18.0,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000618,ORD-000068,,1,8.99,8.99,0.0,8.99,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000619,ORD-000068,,1,10.0,10.0,0.0,10.0,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000620,ORD-000068,,1,15.5,15.5,0.0,15.5,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000621,ORD-000068,,1,9.5,9.5,0.0,9.5,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000622,ORD-000068,,1,3.99,3.99,0.0,3.99,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000623,ORD-000068,,1,16.5,16.5,0.0,16.5,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000624,ORD-000068,,2,3.99,7.98,0.0,7.98,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000625,ORD-000068,,1,6.5,6.5,0.0,6.5,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000626,ORD-000068,,1,9.5,9.5,0.0,9.5,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000627,ORD-000068,,1,18.0,18.0,0.0,18.0,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000628,ORD-000068,,2,18.0,36.0,0.0,36.0,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000629,ORD-000068,,3,16.99,50.97,0.0,50.97,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000630,ORD-000069,,1,26.0,26.0,0.0,26.0,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000631,ORD-000069,,1,16.99,16.99,0.0,16.99,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000632,ORD-000069,,4,5.99,23.96,0.0,23.96,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000633,ORD-000069,,1,3.99,3.99,0.0,3.99,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000634,ORD-000069,,1,15.5,15.5,0.0,15.5,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
LINE-0000635,ORD-000069,,1,8.99,8.99,0.0,8.99,2026-09-26T11:22:06.760320,RULE-09,missing menu IDs,Null item_id prevents menu item association
