order_id,customer_id,location_id,order_date,order_time,order_timestamp,order_type,order_status,payment_method,subtotal_amount,discount_amount,tax_amount,tip_amount,delivery_fee,total_amount,promotion_id,table_number
ORD-000051,CUST-03357,LOC-001,2025-12-22,08:25:37,2025-12-22 08:25:37,DELIVERY,COMPLETED,MOBILE_PAY,304.96,0.0,25.16,45.74,4.99,-380.85,,
ORD-000054,,LOC-014,2025-12-01,19:01:40,2025-12-01 19:01:40,DINE_IN,COMPLETED,CREDIT_CARD,160.96,0.0,13.28,28.97,0.0,-203.21,,11.0
ORD-000057,CUST-44560,LOC-012,2025-02-13,17:21:14,2025-02-13 17:21:14,TAKEOUT,COMPLETED,MOBILE_PAY,86.25,0.0,7.12,0.0,0.0,-93.37,,
ORD-000060,CUST-26826,LOC-017,2025-05-22,09:04:37,2025-05-22 09:04:37,DINE_IN,COMPLETED,CASH,124.97,0.0,10.31,18.75,0.0,-154.03,,21.0
ORD-000063,CUST-15150,LOC-001,2025-11-12,08:23:02,2025-11-12 08:23:02,DELIVERY,REFUNDED,DEBIT_CARD,87.47,0.0,7.22,0.0,4.99,-99.68,,
ORD-000066,CUST-05169,LOC-017,2025-08-01,11:00:43,2025-08-01 11:00:43,DINE_IN,COMPLETED,GIFT_CARD,305.41,0.0,25.2,30.54,0.0,-361.15,,
ORD-000069,CUST-16702,LOC-006,2025-02-07,21:51:47,2025-02-07 21:51:47,DINE_IN,COMPLETED,CREDIT_CARD,168.92,15.0,12.7,15.39,0.0,-182.01,PROMO-002,34.0
ORD-000072,CUST-21358,LOC-016,2025-04-01,23:17:10,2025-04-01 23:17:10,TAKEOUT,COMPLETED,DEBIT_CARD,178.91,12.0,13.77,0.0,0.0,-180.68,PROMO-008,
ORD-000075,CUST-09002,LOC-005,2025-09-28,09:13:59,2025-09-28 09:13:59,DELIVERY,COMPLETED,CREDIT_CARD,228.94,0.0,18.89,34.34,4.99,-287.16,,
ORD-000078,CUST-38490,LOC-002,2025-02-06,18:48:28,2025-02-06 18:48:28,DRIVE_THRU,COMPLETED,CREDIT_CARD,289.2,0.0,23.86,0.0,0.0,-313.06,,
ORD-000081,CUST-20532,LOC-002,2025-11-22,14:08:22,2025-11-22 14:08:22,DINE_IN,COMPLETED,CREDIT_CARD,170.96,0.0,14.1,30.77,0.0,-215.83,,38.0
ORD-000084,CUST-13839,LOC-009,2025-02-01,09:18:58,2025-02-01 09:18:58,DINE_IN,COMPLETED,MOBILE_PAY,225.94,0.0,18.64,45.19,0.0,-289.77,,4.0
ORD-000087,CUST-36545,LOC-001,2025-10-08,17:28:58,2025-10-08 17:28:58,DELIVERY,COMPLETED,CREDIT_CARD,391.0,0.0,32.26,39.1,4.99,-467.35,,
ORD-000090,CUST-07529,LOC-020,2025-07-10,13:16:30,2025-07-10 13:16:30,TAKEOUT,COMPLETED,MOBILE_PAY,216.74,15.0,16.64,0.0,0.0,-218.38,PROMO-001,
ORD-000093,,LOC-004,2025-10-20,13:50:03,2025-10-20 13:50:03,DINE_IN,COMPLETED,DEBIT_CARD,273.97,0.0,22.6,41.1,0.0,-337.67,,1.0
ORD-000096,CUST-13789,LOC-006,2025-07-17,16:44:23,2025-07-17 16:44:23,DINE_IN,COMPLETED,DEBIT_CARD,325.46,0.0,26.85,58.58,0.0,-410.89,,
ORD-000099,CUST-48618,LOC-013,2025-01-13,12:14:48,2025-01-13 12:14:48,DRIVE_THRU,COMPLETED,DEBIT_CARD,567.43,0.0,46.81,0.0,0.0,-614.24,,
ORD-000102,,LOC-006,2025-08-31,11:55:24,2025-08-31 11:55:24,DINE_IN,COMPLETED,DEBIT_CARD,138.98,0.0,11.47,25.02,0.0,-175.47,,40.0
ORD-000105,CUST-29666,LOC-018,2025-12-05,19:47:38,2025-12-05 19:47:38,TAKEOUT,COMPLETED,CREDIT_CARD,248.4,15.0,19.26,0.0,0.0,-252.66,PROMO-012,
