order_id,customer_id,location_id,order_date,order_time,order_timestamp,order_type,order_status,payment_method,subtotal_amount,discount_amount,tax_amount,tip_amount,delivery_fee,total_amount,promotion_id,table_number,_quarantine_timestamp,_quarantine_rule_id,_quarantine_rule_name,_quarantine_reason
ORD-000101,CUST-20644,LOC-004,2026-08-20,20:52:29,2025-01-16 20:52:29,DRIVE_THRU,COMPLETED,DEBIT_CARD,181.97,0.0,15.01,0.0,0.0,196.98,,,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000102,,LOC-006,2026-08-20,11:55:24,2025-08-31 11:55:24,DINE_IN,COMPLETED,DEBIT_CARD,138.98,0.0,11.47,25.02,0.0,-175.47,,40.0,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000103,CUST-05236,LOC-016,2026-08-20,18:59:48,2025-05-17 18:59:48,DINE_IN,COMPLETED,MOBILE_PAY,214.96,0.0,17.73,32.24,0.0,264.93,,1.0,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000104,CUST-37104,LOC-016,2026-08-20,11:32:20,2025-07-21 11:32:20,DINE_IN,COMPLETED,CREDIT_CARD,259.93,8.0,20.78,37.79,0.0,310.5,PROMO-005,23.0,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000105,CUST-29666,LOC-018,2026-08-20,19:47:38,2025-12-05 19:47:38,TAKEOUT,COMPLETED,CREDIT_CARD,248.4,15.0,19.26,0.0,0.0,-252.66,PROMO-012,,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000106,CUST-18189,LOC-001,2026-08-20,20:02:58,2025-04-21 20:02:58,TAKEOUT,COMPLETED,CASH,333.92,10.0,26.72,0.0,0.0,350.64,PROMO-007,,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000107,CUST-38985,LOC-013,2026-08-20,10:48:20,2025-06-20 10:48:20,DINE_IN,COMPLETED,MOBILE_PAY,352.91,0.0,29.12,35.29,0.0,417.32,,8.0,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000108,CUST-43628,LOC-002,2026-08-20,10:54:01,2025-10-18 10:54:01,TAKEOUT,COMPLETED,CREDIT_CARD,280.23,25.0,21.06,0.0,0.0,-276.29,PROMO-011,,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000109,CUST-25441,LOC-017,2026-08-20,20:42:57,2025-04-13 20:42:57,TAKEOUT,COMPLETED,CREDIT_CARD,207.96,0.0,17.16,0.0,0.0,225.12,,,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000110,CUST-36462,LOC-012,2026-08-20,18:12:00,2025-02-08 18:12:00,DINE_IN,COMPLETED,CREDIT_CARD,167.93,20.0,12.2,22.19,0.0,182.32,PROMO-010,33.0,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000111,CUST-41453,LOC-006,2026-08-20,08:00:47,2025-05-07 08:00:47,DINE_IN,COMPLETED,DEBIT_CARD,175.49,25.0,12.42,15.05,0.0,-177.96,PROMO-011,16.0,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000112,CUST-16381,LOC-011,2026-08-20,11:54:41,2025-03-17 11:54:41,DINE_IN,COMPLETED,DEBIT_CARD,208.96,0.0,17.24,37.61,0.0,263.81,,,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000113,CUST-01125,LOC-015,2026-08-20,13:28:14,2025-12-11 13:28:14,DRIVE_THRU,COMPLETED,CREDIT_CARD,97.97,0.0,8.08,0.0,0.0,106.05,,,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000114,CUST-27785,LOC-016,2026-08-20,19:17:52,2025-11-06 19:17:52,DINE_IN,CANCELLED,CREDIT_CARD,159.5,0.0,13.16,0.0,0.0,-172.66,,38.0,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000115,CUST-12427,LOC-020,2026-08-20,11:11:45,2025-08-30 11:11:45,TAKEOUT,COMPLETED,MOBILE_PAY,202.47,0.0,16.7,0.0,0.0,219.17,,,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000116,CUST-07207,LOC-019,2025-02-31,18:20:05,2025-11-24 18:20:05,TAKEOUT,COMPLETED,CREDIT_CARD,284.45,0.0,23.47,0.0,0.0,307.92,,,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000117,CUST-04957,LOC-017,2025-02-31,09:18:40,2025-11-05 09:18:40,DELIVERY,COMPLETED,CREDIT_CARD,244.18,0.0,20.14,43.95,4.99,-313.26,,,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000118,CUST-18447,LOC-001,2025-02-31,13:32:52,2025-03-27 13:32:52,TAKEOUT,COMPLETED,MOBILE_PAY,295.49,0.0,24.38,0.0,0.0,319.87,,,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
ORD-000119,CUST-14914,LOC-005,2025-02-31,18:53:20,2025-11-30 18:53:20,DELIVERY,COMPLETED,CREDIT_CARD,233.96,0.0,19.3,42.11,4.99,300.36,,,2026-09-26T11:22:06.531938,RULE-06,invalid dates,Order date is in future or unparseable calendar date
