wastage_id,item_id,location_id,wastage_date,wastage_time,quantity_wasted,unit_cost,total_loss_amount,wastage_reason,complexity_profile,reported_by,_quarantine_timestamp,_quarantine_rule_id,_quarantine_rule_name,_quarantine_reason
WAS-000101,ITEM-005,LOC-404,2025-12-13,15:47:00,2,11.5,23.0,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Line Supervisor,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000102,ITEM-076,LOC-404,2025-04-29,15:17:00,8,8.8,70.4,EXPIRED_SHELF_LIFE,POPULAR_LOW_MARGIN,Sous Chef,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000103,ITEM-046,LOC-404,2025-04-06,23:55:00,1,24.5,24.5,OVERPRODUCTION_UNSOLD,STANDARD,Kitchen Manager,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000104,ITEM-069,LOC-404,2025-02-25,15:12:00,9,14.8,133.2,EQUIPMENT_COOLER_FAILURE,HIGH_WASTAGE,Inventory Clerk,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000105,ITEM-128,LOC-404,2025-12-10,22:52:00,7,1.8,12.6,EXPIRED_SHELF_LIFE,STANDARD,Sous Chef,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000106,ITEM-039,LOC-404,2025-03-22,14:42:00,5,11.2,56.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Sous Chef,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000107,ITEM-064,LOC-404,2025-12-26,22:17:00,8,23.5,188.0,CUSTOMER_SEND_BACK,HIGH_WASTAGE,Kitchen Manager,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000108,ITEM-093,LOC-404,2025-07-27,22:41:00,3,4.2,12.6,OVERPRODUCTION_UNSOLD,STANDARD,Inventory Clerk,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000109,ITEM-037,LOC-404,2025-09-29,22:01:00,12,5.5,66.0,EXPIRED_SHELF_LIFE,PRICE_SENSITIVE,Kitchen Manager,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000110,ITEM-011,LOC-404,2025-02-17,15:37:00,6,9.8,58.8,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Line Supervisor,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000111,ITEM-045,LOC-404,2025-10-10,14:38:00,2,12.0,24.0,OVERCOOKED_OR_BURNT,HIGH_WASTAGE,Inventory Clerk,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000112,ITEM-027,LOC-404,2025-09-19,22:27:00,7,8.7,60.9,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Kitchen Manager,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000113,ITEM-144,LOC-404,2025-04-13,15:16:00,8,2.6,20.8,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Kitchen Manager,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000114,ITEM-104,LOC-404,2025-05-13,14:33:00,8,2.8,22.4,EXPIRED_SHELF_LIFE,PRICE_SENSITIVE,Sous Chef,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000115,ITEM-075,LOC-404,2025-10-19,23:04:00,7,16.5,115.5,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Line Supervisor,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000116,ITEM-118,LOC-404,2025-04-17,14:46:00,3,4.0,12.0,PREPARATION_ERROR,PROFITABLE_LOW_SELLING,Line Supervisor,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000117,ITEM-102,LOC-404,2025-10-22,22:42:00,10,5.6,56.0,EXPIRED_SHELF_LIFE,STANDARD,Inventory Clerk,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000118,ITEM-029,LOC-404,2025-10-21,23:44:00,7,14.5,101.5,EXPIRED_SHELF_LIFE,PROFITABLE_LOW_SELLING,Line Supervisor,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000119,ITEM-119,LOC-404,2025-10-25,15:12:00,10,3.2,32.0,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Inventory Clerk,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000120,ITEM-071,LOC-404,2025-08-04,23:43:00,12,9.5,114.0,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Sous Chef,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000121,ITEM-104,LOC-404,2025-12-04,22:25:00,11,2.8,30.8,EXPIRED_SHELF_LIFE,PRICE_SENSITIVE,Kitchen Manager,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000122,ITEM-119,LOC-404,2025-03-10,22:13:00,6,3.2,19.2,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Inventory Clerk,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000123,ITEM-047,LOC-404,2025-10-18,23:28:00,3,38.0,114.0,OVERPRODUCTION_UNSOLD,PROFITABLE_LOW_SELLING,Inventory Clerk,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000124,ITEM-016,LOC-404,2025-10-05,15:32:00,12,10.8,129.6,EXPIRED_SHELF_LIFE,POPULAR_LOW_MARGIN,Inventory Clerk,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000125,ITEM-036,LOC-404,2025-04-09,14:18:00,4,9.5,38.0,EXPIRED_SHELF_LIFE,STANDARD,Line Supervisor,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
WAS-000126,ITEM-065,LOC-404,2025-04-20,15:43:00,3,15.0,45.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Line Supervisor,2026-09-26T11:22:08.209236,RULE-15,invalid location references,Location ID 'LOC-404' not found in master restaurants
