category_name,wasted_quantity,total_loss_amount,incident_count,avg_loss_per_incident,loss_share_pct
Chef Specials & Seafood,92618,1470251.5,13646,107.74,45.27
Wood-Fired Pizzas & Pastas,37943,387519.3,5914,65.53,11.93
Appetizers & Small Plates,34688,342840.55,5562,61.64,10.56
Farm-Fresh Salads & Grain Bowls,34362,267331.1,5639,47.41,8.23
Prime Steaks & Butcher Cuts,11485,236913.2,2496,94.92,7.29
Artisanal Burgers & Handhelds,24724,220988.4,4202,52.59,6.8
Handcrafted Desserts & Pastries,25384,110469.0,4257,25.95,3.4
Vegan & Plant-Based Creations,17378,108681.4,3147,34.53,3.35
Specialty Coffee & Beverages,27518,88888.15,4053,21.93,2.74
Signature Cocktails & Mocktails,4718,14087.4,1029,13.69,0.43
