order_id,customer_id,location_id,order_date,order_time,order_timestamp,order_type,order_status,payment_method,subtotal_amount,discount_amount,tax_amount,tip_amount,delivery_fee,total_amount,promotion_id,table_number
ORD-000001,CUST-27001,LOC-014,2025-06-08,16:07:10,2025-06-08 16:07:10,DINE_IN,COMPLETED,GIFT_CARD,269.96,8.0,21.61,26.2,0.0,309.77,PROMO-005,18.0
ORD-000002,CUST-01760,LOC-018,2025-12-17,14:40:27,2025-12-17 14:40:27,DELIVERY,COMPLETED,DEBIT_CARD,421.49,0.0,34.77,42.15,4.99,503.4,,
ORD-000003,CUST-49033,LOC-002,2025-10-09,12:53:12,2025-10-09 12:53:12,DINE_IN,COMPLETED,CREDIT_CARD,224.46,0.0,18.52,40.4,0.0,283.38,,
ORD-000004,CUST-31299,LOC-012,2025-08-19,13:09:51,2025-08-19 13:09:51,DINE_IN,COMPLETED,DEBIT_CARD,111.24,6.5,8.64,15.71,0.0,129.09,PROMO-006,33.0
ORD-000005,CUST-02149,LOC-019,2025-03-15,12:10:21,2025-03-15 12:10:21,DINE_IN,COMPLETED,CREDIT_CARD,117.95,0.0,9.73,21.23,0.0,148.91,,39.0
ORD-000006,,LOC-010,2025-03-15,17:17:49,2025-03-15 17:17:49,TAKEOUT,COMPLETED,DEBIT_CARD,263.98,0.0,21.78,0.0,0.0,285.76,,
ORD-000007,CUST-17818,LOC-005,2025-01-29,19:31:57,2025-01-29 19:31:57,DELIVERY,COMPLETED,CREDIT_CARD,93.47,0.0,7.71,18.69,4.99,124.86,,
ORD-000008,,LOC-014,2025-11-22,18:15:06,2025-11-22 18:15:06,DINE_IN,PENDING,DEBIT_CARD,243.47,0.0,20.09,0.0,0.0,263.56,,30.0
ORD-000009,CUST-03928,LOC-002,2025-08-20,12:56:44,2025-08-20 12:56:44,DINE_IN,COMPLETED,DEBIT_CARD,345.93,6.5,28.0,50.91,0.0,418.34,PROMO-006,18.0
ORD-000010,CUST-21062,LOC-014,2025-09-29,14:19:29,2025-09-29 14:19:29,DINE_IN,COMPLETED,CREDIT_CARD,208.99,0.0,17.24,41.8,0.0,268.03,,12.0
ORD-000011,,LOC-008,2025-01-11,07:49:38,2025-01-11 07:49:38,TAKEOUT,COMPLETED,CREDIT_CARD,252.47,20.0,19.18,0.0,0.0,251.65,PROMO-010,
ORD-000012,CUST-30226,LOC-014,2025-12-22,19:23:57,2025-12-22 19:23:57,DELIVERY,COMPLETED,DEBIT_CARD,240.94,6.5,19.34,42.2,4.99,300.97,PROMO-006,
ORD-000013,CUST-22435,LOC-006,2025-11-13,11:19:00,2025-11-13 11:19:00,DINE_IN,COMPLETED,CREDIT_CARD,70.95,0.0,5.85,17.74,0.0,94.54,,40.0
ORD-000014,CUST-28234,LOC-006,2025-04-06,13:45:38,2025-04-06 13:45:38,DINE_IN,COMPLETED,CREDIT_CARD,254.95,0.0,21.03,25.5,0.0,301.48,,40.0
ORD-000015,CUST-05031,LOC-010,2025-03-25,11:49:29,2025-03-25 11:49:29,DELIVERY,PENDING,CREDIT_CARD,81.49,12.22,5.71,0.0,4.99,79.97,PROMO-011,
ORD-000016,CUST-26842,LOC-016,2025-03-26,17:01:10,2025-03-26 17:01:10,TAKEOUT,COMPLETED,CREDIT_CARD,309.49,0.0,25.53,0.0,0.0,335.02,,
ORD-000017,CUST-44360,LOC-016,2025-05-13,15:34:45,2025-05-13 15:34:45,TAKEOUT,PENDING,CREDIT_CARD,143.23,0.0,11.82,0.0,0.0,155.05,,
ORD-000018,CUST-00458,LOC-002,2025-07-26,12:09:22,2025-07-26 12:09:22,DINE_IN,COMPLETED,CREDIT_CARD,322.92,0.0,26.64,48.44,0.0,398.0,,32.0
ORD-000019,CUST-25664,LOC-013,2025-06-27,14:37:20,2025-06-27 14:37:20,DINE_IN,COMPLETED,MOBILE_PAY,312.7,0.0,25.8,46.9,0.0,385.4,,5.0
ORD-000020,CUST-44010,LOC-019,2025-05-08,11:34:19,2025-05-08 11:34:19,DRIVE_THRU,CANCELLED,MOBILE_PAY,95.74,0.0,7.9,0.0,0.0,103.64,,
ORD-000021,CUST-23852,LOC-012,2025-08-24,18:03:47,2025-08-24 18:03:47,DINE_IN,COMPLETED,DEBIT_CARD,152.45,0.0,12.58,22.87,0.0,187.9,,35.0
ORD-000022,CUST-45748,LOC-020,2025-03-08,12:51:32,2025-03-08 12:51:32,TAKEOUT,COMPLETED,CREDIT_CARD,157.48,0.0,12.99,0.0,0.0,170.47,,
ORD-000023,CUST-27926,LOC-004,2025-05-09,17:35:03,2025-05-09 17:35:03,DELIVERY,COMPLETED,CREDIT_CARD,163.96,15.0,12.29,22.34,4.99,188.58,PROMO-001,
ORD-000024,,LOC-002,2025-06-06,19:36:29,2025-06-06 19:36:29,TAKEOUT,COMPLETED,CASH,140.97,0.0,11.63,0.0,0.0,152.6,,
ORD-000025,CUST-45890,LOC-002,2025-07-05,08:56:53,2025-07-05 08:56:53,DINE_IN,CANCELLED,CREDIT_CARD,238.95,10.0,18.89,0.0,0.0,247.84,PROMO-007,40.0
ORD-000026,CUST-29353,LOC-004,2025-10-30,12:42:56,2025-10-30 12:42:56,DRIVE_THRU,COMPLETED,DEBIT_CARD,331.49,0.0,27.35,0.0,0.0,358.84,,
ORD-000027,CUST-07100,LOC-012,2025-04-01,10:45:39,2025-04-01 10:45:39,DINE_IN,COMPLETED,CASH,181.5,25.0,12.91,23.47,0.0,192.88,PROMO-003,16.0
ORD-000028,CUST-07717,LOC-014,2025-07-23,20:51:28,2025-07-23 20:51:28,DELIVERY,COMPLETED,MOBILE_PAY,205.43,10.0,16.12,35.18,4.99,251.72,PROMO-007,
ORD-000029,CUST-38375,LOC-007,2025-08-17,12:08:38,2025-08-17 12:08:38,DINE_IN,COMPLETED,CREDIT_CARD,136.72,15.0,10.04,24.34,0.0,156.1,PROMO-001,25.0
ORD-000030,CUST-44859,LOC-009,2025-01-24,11:25:30,2025-01-24 11:25:30,TAKEOUT,COMPLETED,DEBIT_CARD,238.48,8.0,19.01,0.0,0.0,249.49,PROMO-005,
ORD-000031,CUST-26808,LOC-002,2025-08-22,17:55:10,2025-08-22 17:55:10,TAKEOUT,COMPLETED,DEBIT_CARD,183.48,0.0,15.14,0.0,0.0,198.62,,
ORD-000032,CUST-49524,LOC-019,2025-03-21,14:20:29,2025-03-21 14:20:29,DINE_IN,COMPLETED,DEBIT_CARD,173.0,0.0,14.27,31.14,0.0,218.41,,16.0
ORD-000033,CUST-34464,LOC-004,2025-02-01,19:25:30,2025-02-01 19:25:30,DELIVERY,COMPLETED,CREDIT_CARD,170.96,0.0,14.1,25.64,4.99,215.69,,
ORD-000034,CUST-30751,LOC-017,2025-12-16,18:05:39,2025-12-16 18:05:39,DINE_IN,COMPLETED,DEBIT_CARD,118.46,17.77,8.31,15.1,0.0,124.1,PROMO-011,9.0
ORD-000035,CUST-28368,LOC-006,2025-12-21,21:11:15,2025-12-21 21:11:15,TAKEOUT,CANCELLED,DEBIT_CARD,158.98,0.0,13.12,0.0,0.0,172.1,,
ORD-000036,CUST-12710,LOC-013,2025-11-06,09:02:24,2025-11-06 09:02:24,DINE_IN,COMPLETED,CREDIT_CARD,319.95,0.0,26.4,47.99,0.0,394.34,,24.0
ORD-000037,,LOC-001,2025-05-13,09:17:54,2025-05-13 09:17:54,DELIVERY,COMPLETED,CREDIT_CARD,231.92,40.0,15.83,28.79,4.99,241.53,PROMO-009,
ORD-000038,CUST-33833,LOC-020,2025-02-17,20:08:26,2025-02-17 20:08:26,TAKEOUT,COMPLETED,CASH,149.97,0.0,12.37,0.0,0.0,162.34,,
ORD-000039,CUST-24259,LOC-012,2025-09-20,21:38:05,2025-09-20 21:38:05,DELIVERY,COMPLETED,CREDIT_CARD,80.24,15.0,5.38,13.05,4.99,88.66,PROMO-001,
ORD-000040,CUST-35203,LOC-010,2025-06-29,12:47:48,2025-06-29 12:47:48,DELIVERY,COMPLETED,CREDIT_CARD,236.2,0.0,19.49,42.52,4.99,303.2,,
ORD-000041,CUST-46991,LOC-002,2025-03-01,13:41:38,2025-03-01 13:41:38,DINE_IN,REFUNDED,CREDIT_CARD,159.98,0.0,13.2,0.0,0.0,173.18,,17.0
ORD-000042,CUST-10191,LOC-013,2025-07-17,12:31:23,2025-07-17 12:31:23,TAKEOUT,COMPLETED,MOBILE_PAY,191.93,0.0,15.83,0.0,0.0,207.76,,
ORD-000043,CUST-40344,LOC-006,2025-01-18,18:50:21,2025-01-18 18:50:21,TAKEOUT,COMPLETED,CREDIT_CARD,243.48,0.0,20.09,0.0,0.0,263.57,,
ORD-000044,CUST-07806,LOC-002,2025-12-05,18:01:43,2025-12-05 18:01:43,DELIVERY,COMPLETED,CREDIT_CARD,319.98,0.0,26.4,57.6,4.99,408.97,,
ORD-000045,CUST-28027,LOC-001,2025-04-25,11:45:10,2025-04-25 11:45:10,DINE_IN,COMPLETED,CREDIT_CARD,331.46,40.0,24.05,52.46,0.0,367.97,PROMO-009,4.0
ORD-000046,CUST-41178,LOC-001,2025-09-11,12:09:06,2025-09-11 12:09:06,DELIVERY,COMPLETED,DEBIT_CARD,176.25,0.0,14.54,26.44,4.99,222.22,,
ORD-000047,CUST-13965,LOC-010,2025-05-16,11:59:37,2025-05-16 11:59:37,DINE_IN,COMPLETED,CREDIT_CARD,146.48,0.0,12.08,21.97,0.0,180.53,,40.0
