wastage_id,item_id,location_id,wastage_date,wastage_time,quantity_wasted,unit_cost,total_loss_amount,wastage_reason,complexity_profile,reported_by
WAS-000001,ITEM-062,LOC-009,2025-01-09,14:01:00,12,16.0,192.0,EQUIPMENT_COOLER_FAILURE,HIGH_WASTAGE,Line Supervisor
WAS-000002,ITEM-146,LOC-004,2025-03-26,15:08:00,5,3.4,17.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Kitchen Manager
WAS-000003,ITEM-086,LOC-006,2025-06-12,14:37:00,12,10.2,122.4,OVERCOOKED_OR_BURNT,HIGH_WASTAGE,Inventory Clerk
WAS-000004,ITEM-074,LOC-002,2025-05-06,14:05:00,2,12.0,24.0,PREPARATION_ERROR,HIGH_WASTAGE,Sous Chef
WAS-000005,ITEM-025,LOC-001,2025-02-22,14:35:00,5,9.2,46.0,EXPIRED_SHELF_LIFE,STANDARD,Sous Chef
WAS-000006,ITEM-025,LOC-017,2025-07-08,23:14:00,12,9.2,110.4,EXPIRED_SHELF_LIFE,STANDARD,Inventory Clerk
WAS-000007,ITEM-007,LOC-004,2025-08-08,14:48:00,3,7.5,22.5,OVERCOOKED_OR_BURNT,STANDARD,Sous Chef
WAS-000008,ITEM-117,LOC-005,2025-12-30,22:17:00,4,4.2,16.8,OVERCOOKED_OR_BURNT,STANDARD,Sous Chef
WAS-000009,ITEM-074,LOC-018,2025-05-27,22:06:00,5,12.0,60.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Kitchen Manager
WAS-000010,ITEM-085,LOC-013,2025-02-14,14:22:00,4,9.8,39.2,OVERPRODUCTION_UNSOLD,STANDARD,Line Supervisor
WAS-000011,ITEM-005,LOC-020,2025-12-12,22:51:00,11,11.5,126.5,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Kitchen Manager
WAS-000012,ITEM-146,LOC-011,2025-01-10,14:59:00,9,3.4,30.6,CUSTOMER_SEND_BACK,HIGH_WASTAGE,Inventory Clerk
WAS-000013,ITEM-110,LOC-020,2025-07-07,22:53:00,3,5.8,17.4,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Line Supervisor
WAS-000014,ITEM-034,LOC-001,2025-06-28,15:45:00,11,9.8,107.8,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Kitchen Manager
WAS-000015,ITEM-027,LOC-012,2025-12-14,15:49:00,2,8.7,17.4,PREPARATION_ERROR,HIGH_WASTAGE,Line Supervisor
WAS-000016,ITEM-028,LOC-013,2025-08-10,15:55:00,1,7.2,7.2,OVERPRODUCTION_UNSOLD,STANDARD,Kitchen Manager
WAS-000017,ITEM-045,LOC-004,2025-03-09,22:29:00,8,12.0,96.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Line Supervisor
WAS-000018,ITEM-069,LOC-012,2025-07-01,22:22:00,4,14.8,59.2,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Sous Chef
WAS-000019,ITEM-065,LOC-006,2025-03-09,22:44:00,12,15.0,180.0,EQUIPMENT_COOLER_FAILURE,HIGH_WASTAGE,Kitchen Manager
WAS-000020,ITEM-045,LOC-013,2025-04-17,15:34:00,11,12.0,132.0,PREPARATION_ERROR,HIGH_WASTAGE,Sous Chef
WAS-000021,ITEM-075,LOC-014,2025-09-07,23:24:00,4,16.5,66.0,PREPARATION_ERROR,HIGH_WASTAGE,Line Supervisor
WAS-000022,ITEM-021,LOC-012,2025-11-21,15:43:00,12,8.9,106.8,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Line Supervisor
WAS-000023,ITEM-045,LOC-020,2025-02-16,15:52:00,2,12.0,24.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Kitchen Manager
WAS-000024,ITEM-061,LOC-002,2025-03-09,23:17:00,3,18.5,55.5,OVERPRODUCTION_UNSOLD,PROFITABLE_LOW_SELLING,Kitchen Manager
WAS-000025,ITEM-066,LOC-012,2025-09-10,22:13:00,5,16.8,84.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Inventory Clerk
WAS-000026,ITEM-098,LOC-006,2025-12-05,23:09:00,8,6.8,54.4,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Line Supervisor
WAS-000027,ITEM-033,LOC-004,2025-06-05,15:47:00,4,7.5,30.0,EXPIRED_SHELF_LIFE,STANDARD,Line Supervisor
WAS-000028,ITEM-069,LOC-001,2025-12-09,23:57:00,11,14.8,162.8,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Inventory Clerk
WAS-000029,ITEM-074,LOC-008,2025-09-05,15:08:00,7,12.0,84.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Inventory Clerk
WAS-000030,ITEM-006,LOC-008,2025-11-18,14:55:00,3,10.2,30.6,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Kitchen Manager
WAS-000031,ITEM-074,LOC-012,2025-08-08,15:50:00,4,12.0,48.0,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Inventory Clerk
WAS-000032,ITEM-027,LOC-004,2025-01-11,14:24:00,11,8.7,95.7,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Inventory Clerk
WAS-000033,ITEM-008,LOC-016,2025-04-21,23:33:00,11,16.5,181.5,EXPIRED_SHELF_LIFE,PROFITABLE_LOW_SELLING,Line Supervisor
WAS-000034,ITEM-145,LOC-014,2025-12-16,14:43:00,10,1.5,15.0,EXPIRED_SHELF_LIFE,STANDARD,Kitchen Manager
WAS-000035,ITEM-146,LOC-014,2025-03-27,22:49:00,12,3.4,40.8,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Line Supervisor
WAS-000036,ITEM-105,LOC-002,2025-05-05,22:27:00,1,8.5,8.5,PREPARATION_ERROR,PROFITABLE_LOW_SELLING,Sous Chef
WAS-000037,ITEM-045,LOC-017,2025-10-07,14:46:00,9,12.0,108.0,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Line Supervisor
WAS-000038,ITEM-011,LOC-008,2025-08-18,15:32:00,10,9.8,98.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Kitchen Manager
WAS-000039,ITEM-082,LOC-007,2025-12-22,22:53:00,12,7.5,90.0,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Sous Chef
WAS-000040,ITEM-065,LOC-013,2025-03-31,22:48:00,4,15.0,60.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Sous Chef
WAS-000041,ITEM-020,LOC-011,2025-12-27,22:31:00,1,7.5,7.5,OVERCOOKED_OR_BURNT,STANDARD,Kitchen Manager
WAS-000042,ITEM-067,LOC-019,2025-03-24,22:56:00,3,16.0,48.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Line Supervisor
WAS-000043,ITEM-006,LOC-019,2025-08-05,14:15:00,5,10.2,51.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Kitchen Manager
WAS-000044,ITEM-129,LOC-010,2025-03-24,23:52:00,3,2.8,8.4,EXPIRED_SHELF_LIFE,STANDARD,Kitchen Manager
WAS-000045,ITEM-040,LOC-011,2025-04-27,15:42:00,2,7.8,15.6,OVERPRODUCTION_UNSOLD,STANDARD,Inventory Clerk
WAS-000046,ITEM-078,LOC-016,2025-08-11,15:16:00,10,7.8,78.0,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Inventory Clerk
WAS-000047,ITEM-045,LOC-008,2025-03-31,15:45:00,5,12.0,60.0,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Line Supervisor
WAS-000048,ITEM-069,LOC-002,2025-04-30,22:28:00,8,14.8,118.4,EQUIPMENT_COOLER_FAILURE,HIGH_WASTAGE,Inventory Clerk
WAS-000049,ITEM-071,LOC-014,2025-06-21,15:14:00,3,9.5,28.5,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Kitchen Manager
WAS-000050,ITEM-028,LOC-017,2025-08-28,14:37:00,7,7.2,50.4,EXPIRED_SHELF_LIFE,STANDARD,Sous Chef
WAS-000051,ITEM-146,LOC-017,2025-01-08,15:00:00,9999,3.4,37.4,PREPARATION_ERROR,HIGH_WASTAGE,Kitchen Manager
WAS-000052,ITEM-098,LOC-011,2025-03-05,14:14:00,9999,6.8,81.6,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Kitchen Manager
WAS-000053,ITEM-144,LOC-001,2025-11-16,22:04:00,9999,2.6,5.2,EQUIPMENT_COOLER_FAILURE,HIGH_WASTAGE,Sous Chef
WAS-000054,ITEM-119,LOC-019,2025-09-07,23:13:00,9999,3.2,19.2,PREPARATION_ERROR,HIGH_WASTAGE,Sous Chef
WAS-000055,ITEM-074,LOC-001,2025-01-26,23:15:00,9999,12.0,132.0,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Inventory Clerk
WAS-000056,ITEM-141,LOC-004,2025-01-16,15:06:00,9999,1.4,5.6,PREPARATION_ERROR,STANDARD,Kitchen Manager
WAS-000057,ITEM-011,LOC-007,2025-04-22,23:22:00,9999,9.8,117.6,PREPARATION_ERROR,HIGH_WASTAGE,Inventory Clerk
WAS-000058,ITEM-031,LOC-020,2025-03-01,23:55:00,9999,12.0,48.0,OVERPRODUCTION_UNSOLD,POPULAR_LOW_MARGIN,Kitchen Manager
WAS-000059,ITEM-006,LOC-001,2025-02-11,14:03:00,9999,10.2,122.4,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Inventory Clerk
WAS-000060,ITEM-049,LOC-011,2025-02-02,14:15:00,9999,19.5,58.5,OVERPRODUCTION_UNSOLD,STANDARD,Sous Chef
WAS-000061,ITEM-062,LOC-013,2025-11-21,23:08:00,9999,16.0,80.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Inventory Clerk
WAS-000062,ITEM-043,LOC-003,2025-07-14,22:29:00,9999,8.5,34.0,PREPARATION_ERROR,HIGH_WASTAGE,Sous Chef
WAS-000063,ITEM-110,LOC-008,2025-03-06,23:51:00,9999,5.8,17.4,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Kitchen Manager
WAS-000064,ITEM-059,LOC-012,2025-10-02,14:05:00,9999,13.5,27.0,EXPIRED_SHELF_LIFE,STANDARD,Sous Chef
WAS-000065,ITEM-043,LOC-002,2025-06-03,23:31:00,9999,8.5,34.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Inventory Clerk
WAS-000066,ITEM-071,LOC-001,2025-02-05,23:57:00,-5,9.5,47.5,CUSTOMER_SEND_BACK,HIGH_WASTAGE,Kitchen Manager
WAS-000067,ITEM-021,LOC-020,2025-11-04,23:00:00,-5,8.9,35.6,PREPARATION_ERROR,HIGH_WASTAGE,Inventory Clerk
WAS-000068,ITEM-102,LOC-014,2025-05-09,23:18:00,-5,5.6,16.8,OVERPRODUCTION_UNSOLD,STANDARD,Inventory Clerk
WAS-000069,ITEM-010,LOC-015,2025-12-03,23:09:00,-5,7.0,70.0,EXPIRED_SHELF_LIFE,STANDARD,Sous Chef
WAS-000070,ITEM-148,LOC-004,2025-04-10,15:03:00,-5,4.1,24.6,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Kitchen Manager
WAS-000071,ITEM-098,LOC-020,2025-10-21,14:03:00,-5,6.8,47.6,PREPARATION_ERROR,HIGH_WASTAGE,Inventory Clerk
WAS-000072,ITEM-032,LOC-007,2025-12-14,14:32:00,-5,13.8,27.6,OVERPRODUCTION_UNSOLD,POPULAR_LOW_MARGIN,Kitchen Manager
WAS-000073,ITEM-003,LOC-001,2025-09-13,14:38:00,-5,7.1,28.4,EXPIRED_SHELF_LIFE,POPULAR_LOW_MARGIN,Kitchen Manager
WAS-000074,ITEM-108,LOC-005,2025-06-22,23:07:00,-5,6.9,13.8,OVERPRODUCTION_UNSOLD,POPULAR_LOW_MARGIN,Sous Chef
WAS-000075,ITEM-085,LOC-014,2025-05-30,14:39:00,-5,9.8,107.8,EXPIRED_SHELF_LIFE,STANDARD,Kitchen Manager
WAS-000076,ITEM-086,LOC-006,2025-10-19,22:59:00,8,10.2,81.6,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Line Supervisor
WAS-000077,ITEM-098,LOC-007,2025-09-03,22:15:00,5,6.8,34.0,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Line Supervisor
WAS-000078,ITEM-010,LOC-012,2025-09-24,15:42:00,4,7.0,28.0,OVERCOOKED_OR_BURNT,STANDARD,Line Supervisor
