forecast_date,projected_revenue,ci_lower_95,ci_upper_95
2026-01-01,69035.35,40040.58,98030.12
2026-01-02,73397.12,39299.05,107495.19
2026-01-03,75941.91,39957.94,111925.87
2026-01-04,77426.61,40620.74,114232.49
2026-01-05,78292.83,41072.33,115513.33
2026-01-06,78798.21,41334.75,116261.67
2026-01-07,79093.06,41465.29,116720.84
2026-01-08,79265.09,41511.73,117018.45
2026-01-09,79365.45,41506.73,117224.18
2026-01-10,79424.01,41470.95,117377.07
2026-01-11,79458.17,41417.01,117499.34
2026-01-12,79478.11,41352.43,117603.78
2026-01-13,79489.73,41281.68,117697.79
2026-01-14,79496.52,41207.38,117785.66
2026-01-15,79500.48,41131.08,117869.88
2026-01-16,79502.79,41053.67,117951.9
2026-01-17,79504.13,40975.69,118032.58
2026-01-18,79504.92,40897.43,118112.41
2026-01-19,79505.38,40819.08,118191.68
2026-01-20,79505.65,40740.75,118270.55
2026-01-21,79505.8,40662.49,118349.12
2026-01-22,79505.89,40584.33,118427.46
2026-01-23,79505.95,40506.3,118505.59
2026-01-24,79505.98,40428.42,118583.54
2026-01-25,79506.0,40350.67,118661.32
2026-01-26,79506.01,40273.08,118738.94
2026-01-27,79506.01,40195.63,118816.39
2026-01-28,79506.02,40118.34,118893.7
2026-01-29,79506.02,40041.19,118970.84
2026-01-30,79506.02,39964.2,119047.84
